DrugGEN_MOL_ID,SMILES,DOCKING_SCORE
CDK2_02_000987,CC[C@@H](Nc1nc(NCc2ccc(C)nc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.903
CDK2_03_000620,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)CC4)ccn2)C1,-9.889
CDK2_03_001108,O[C@H]1CC[C@@H](Nc2nc(NCc3ccc(-c4ccco4)nc3)c3ncn(C4CCCC4)c3n2)CC1,-9.888
CDK2_02_001174,CC(C)n1cnc2c(NCc3cccnc3)nc(NC[C@@H](C)O)nc21,-9.882
CDK2_02_001204,CC(C)COc1cc(Nc2ccc(S(C)(=O)=O)cc2)n2ncc(C(C)C)c2n1,-9.881
CDK2_03_001917,CC(C)n1cnc2c(Nc3ccc(N)c(N)c3)nc(N3CCC[C@@H]3CO)nc21,-9.866
CDK2_03_001354,CC(C)n1cnc2c(NCc3ccccc3)nc(CC[C@@](C)(O)c3ccccc3)nc21,-9.864
CDK2_02_000679,Cc1cnn2c(NCc3cccnc3)cc(-c3ccccc3F)nc12,-9.859
CDK2_02_000406,NC(=O)Cc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.847
CDK2_03_001846,CC(C)[C@H](CO)Nc1nc(NCc2ccc(S(N)(=O)=O)cc2)c2ncn(C(C)C)c2n1,-9.842
CDK2_03_001411,NS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nc[nH]c4c3)n2)cc1,-9.839
CDK2_03_001364,COc1ccc(CNc2nc(N[C@@H](CO)CC(C)C)nc3c2ncn3C(C)C)cc1,-9.836
CDK2_02_001056,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCC[NH3+])nc12,-9.832
CDK2_02_000674,NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.793
CDK2_02_000590,NC(=O)N1CCc2[nH]nc(NC(=O)Cc3ccccc3)c2C1,-9.785
CDK2_03_001583,CNc1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nc[nH]c4c3)n2)cc1NC,-9.784
CDK2_01_002523,Cc1cc([C@H]([NH3+])N2CCc3c(n(Cc4ccc(N)cc4)c4ccccc34)C2)ccc1N,-9.775
CDK2_02_001515,CC[C@@H](Nc1nc(NCc2cccc(N)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.771
CDK2_03_001647,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H]3C[NH2+]C[C@H]3O)nc12,-9.764
CDK2_02_000543,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(N[C@H]3CC[C@@H]([NH3+])CC3)nc12,-9.756
CDK2_01_005127,[NH3+]C[C@@H](O)CNC(=O)c1cccc(-c2ccc(F)c3cc(Cc4cccc(C(F)(F)F)c4)sc23)c1,-9.747
CDK2_03_000170,Cc1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-9.744
CDK2_02_000258,CCn1cnc2c(NCc3nc4c(F)c(F)ccc4[nH]3)nc(N3CCCC[C@@H]3CCO)nc21,-9.735
CDK2_01_006608,COc1ccc(CNc2nc(NCCO)nc3c2ncn3C(C)C)cc1,-9.733
CDK2_01_000872,O=c1cc([C@@H](O)NCC[NH2+]C[C@@H](O)C(F)(F)F)[nH]c2c1c(-c1ccccc1)c(O)n2Cc1ccccc1,-9.732
CDK2_03_001598,CCC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-9.726
CDK2_02_000021,CC(C)[C@H](CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,-9.725
CDK2_02_000613,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O,-9.720
CDK2_03_002900,Cc1ccc(Oc2nc(Nc3ccc4nc[nH]c4c3)ncc2C(F)(F)F)cc1,-9.716
CDK2_03_000033,COc1ccc(F)cc1-c1ccnc2[nH]c([C@H]3CC[N@H+](CC(N)=O)CC3)cc12,-9.714
CDK2_03_002775,CC(C)(O)CNc1nc(NCc2ccc(-c3ccco3)nc2)c2ncn(C3CCCC3)c2n1,-9.712
CDK2_03_001869,Cc1cccc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)c1,-9.712
CDK2_03_001112,CNc1ccc(F)cc1-c1ccnc2[nH]c([C@H]3CC[N@H+]([C@H]4CC[C@@H]([C@@H](N)[NH3+])CC4)CC3)cc12,-9.686
CDK2_02_000390,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OC[C@H](O)C[NH+](C)C)cc2)n1,-9.683
CDK2_03_002695,[NH3+]CCOc1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-9.682
CDK2_03_002848,O=C1CCCN1c1cccc(-c2ccnc3[nH]c(C4CC[NH2+]CC4)cc23)n1,-9.678
CDK2_03_000343,COc1ccc(Nc2nc(Nc3ccc4nc[nH]c4c3)ncc2C(F)(F)F)cc1,-9.678
CDK2_03_002794,Nc1cccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nc[nH]c4c3)n2)c1,-9.673
CDK2_03_000920,COc1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-9.670
CDK2_02_000288,CC(C)n1cnc2c(NCc3ccccc3)nc(NC[C@@H](C)O)nc21,-9.668
CDK2_03_000395,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4ccccc34)c(N)cn2)C1,-9.667
CDK2_03_000798,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3NCCC4)c(N)cn2)C1,-9.648
CDK2_02_000210,CC(C)[C@H](CO)Nc1nc(Nc2cccc(N)c2)c2ncn(C(C)C)c2n1,-9.648
CDK2_01_001468,Cc1cc(-c2ccnc(Nc3cnc4c(c3)C[NH2+]C4)n2)cnc1N1CC[C@@H](F)C1,-9.643
CDK2_03_001546,Cc1nc(NCc2ccc(N)c(N)c2)c2ncn(C(C)C)c2n1,-9.642
CDK2_03_001268,O=C(Cc1ccc2[nH]cnc2c1)Nc1ncc(C2CCC2)s1,-9.637
CDK2_02_000727,CC(C)NC(=O)N1CCc2[nH]nc(NC(=O)c3ccc4c(c3)OCO4)c2C1,-9.630
CDK2_02_001272,CNC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.624
CDK2_02_000883,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,-9.622
CDK2_03_000167,O=c1[nH]c2ccccc2nc1-c1cccc2c(O)c(C3CCCC3)sc12,-9.622
CDK2_03_002261,CNc1ccc(O)cc1-c1cccc2[nH]c([C@H]3CC[C@@H]([C@@H](N)[NH3+])CC3)cc12,-9.621
CDK2_03_001121,NC(=[NH2+])SCCCn1c(O)c2[nH]c3ccc4ccccc4c3c2c1O,-9.619
CDK2_03_000289,Nc1cccc(Nc2ncnc3[nH]nc(-c4ccc(O)cc4)c23)c1,-9.610
CDK2_03_001600,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCCO)nc21,-9.610
CDK2_01_003983,CCOc1ccc(-n2nnc(-c3ccccc3N[C@H](O)c3ccc(NO)cc3)n2)cc1,-9.600
CDK2_03_000332,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnc4ccccn34)c(N)cn2)C1,-9.595
CDK2_02_000397,c1ccc(Nc2ncc3c(n2)CCc2cnc(Nc4ccccc4)nc2-3)cc1,-9.578
CDK2_03_002467,CNC(=O)c1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-9.578
CDK2_03_000806,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3CCCC4)ccn2)C1,-9.573
CDK2_03_001922,CCCC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-9.572
CDK2_03_003011,CC[C@@](C)(O)CCc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-9.561
CDK2_01_006662,CCCc1cccc(-c2cc(NC(=O)[C@H]3C[NH2+][C@H](O)C3)nnc2C(F)(F)F)c1,-9.545
CDK2_01_005374,Cc1cncc(-n2ncc3ccc(-c4cccc(N[C@@H](C)O)c4)cc32)n1,-9.545
CDK2_03_003094,CC(=O)N[C@@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)[C@H]4O)c(N)cn2)C1,-9.543
CDK2_03_001289,CS(=O)(=O)c1ccc(Nc2nc(C3CCCC3)nc3c2ncn3CCc2cccc(O)c2)cc1,-9.541
CDK2_03_000677,CC(C)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(N3CCC[C@@H]3CO)nc21,-9.535
CDK2_03_002366,CCn1cnc2c(Nc3cccc(N)c3)nc(N[C@H]3CC[C@@H](O)CC3)nc21,-9.531
CDK2_03_002215,OCCNc1nc(NCc2ccccc2)c2ncn(CCO)c2n1,-9.525
CDK2_03_002850,Nc1ccc(Nc2nc(Nc3ccc4nc[nH]c4c3)ncc2C(F)(F)F)cc1,-9.511
CDK2_01_007623,NC(=O)[C@@H](CCCN[C@@H](N)[NH3+])NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccc(N)cc1N,-9.510
CDK2_03_003023,Cc1nc(NCc2ccc(N)cc2)c2ncn(C(C)C)c2n1,-9.506
CDK2_01_007227,CCCC(=O)Nc1nc(Nc2cccc(-c3ncccn3)c2)c2ncn(C(C)C)c2n1,-9.506
CDK2_03_000118,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCCCO)nc21,-9.502
CDK2_02_000612,COc1ccc2cnc(Nc3ccc(N4CC[C@@H]([NH3+])C4)cc3)nc2c1C1CCCC1,-9.500
CDK2_03_002198,CC[C@H](CO)Nc1nc(NCc2cccc(O)c2)c2nc(N)n(C(C)C)c2n1,-9.496
CDK2_03_003012,COc1ccc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)cc1,-9.488
CDK2_03_000166,Cc1ccc(Nc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)cc1,-9.487
CDK2_03_000509,CC(C)[C@H](CO)Nc1nc(Nc2ccc(N)cc2)c2ncn(C(C)C)c2n1,-9.484
CDK2_02_001490,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(O[C@H]3CC[C@@H]([NH3+])CC3)nc12,-9.484
CDK2_03_000613,CC(C)c1nn(-c2c(N)cccc2N)c2nc(Cc3ccc(OCCO)cc3)[nH]c(=O)c12,-9.482
CDK2_03_002767,[NH3+][C@H]1CC[C@@H](Nc2nc(NCc3ccc(-n4cccn4)cc3)c3ncn(C4CCCC4)c3n2)CC1,-9.476
CDK2_03_002906,FC(F)(F)c1cnc(Nc2ccc3nc[nH]c3c2)nc1OC1CCCCC1,-9.473
CDK2_01_006887,CNc1ccc(-c2cccc(C)c2-c2cc(NC)c(NC)c(NC)c2)cc1O,-9.473
CDK2_02_001270,CC[NH+](CC)Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,-9.460
CDK2_02_000668,CCS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.444
CDK2_01_004158,O=C(c1ccc2nc(N[C@H](O)C(F)(F)F)cn2c1)c1ccc2ccccc2n1,-9.440
CDK2_03_001538,Cc1ccc(CNc2nc(NCc3ccccc3)c3ncn(CCO)c3n2)cc1,-9.440
CDK2_03_000707,COc1ccc(N)cc1-c1ccnc2[nH]c(C3CC[NH2+]CC3)cc12,-9.440
CDK2_02_000206,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@H](O)C(C)C,-9.434
CDK2_02_001438,CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(N)c(S(=O)(=O)NC)c4)n3)ccn2)cc1,-9.433
CDK2_02_000398,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(CC3CC3)c2n1)[C@@H](C)O,-9.427
CDK2_02_001329,NC(=O)c1ccc(CC(=O)Nc2cc(C3CC3)[nH]n2)cc1,-9.425
CDK2_02_001000,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncc(C(C)C)n2n1,-9.424
CDK2_02_000525,Cc1cnn2c(NCc3ccncc3)cc(-c3ccccc3F)nc12,-9.412
CDK2_03_002359,CC(C)[C@H](CO)Nc1nc(Nc2cccc(N)c2)c2nc(N)n(C(C)C)c2n1,-9.412
CDK2_02_001516,COC[C@@H](C)Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,-9.409
CDK2_02_000286,C[C@@H](O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.401
CDK2_03_000203,CS(=O)(=O)N1CCc2cc(Nc3ncc(C(F)(F)F)c(NCCC[NH3+])n3)ccc2C1,-9.398
CDK2_03_002711,Cc1cnn2c(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)cc(N[C@H]3CC[C@@H]([NH3+])CC3)nc12,-9.392
CDK2_02_000515,O=C1Nc2ccc(F)c3c(S[C@@H]4CC[NH2+]C4)cc(-c4ccccn4)c1c23,-9.392
CDK2_03_000897,CC(C)[C@H](CO)Nc1nc(Nc2ccc(O)c(C(=O)[O-])c2)c2ncn(C(C)C)c2n1,-9.391
CDK2_02_000623,Nc1ccccc1Nc1nc(Nc2ccc3nc[nH]c3c2)ncc1C(F)(F)F,-9.389
CDK2_03_000964,Cc1cnn2c(NC3CC3)cc(-n3ccc4ccc(N[C@@H](C)O)cc43)nc12,-9.383
CDK2_02_000064,CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(C)c(S(=O)(=O)NC)c4)n3)ccn2)cc1,-9.378
CDK2_01_000471,Cc1c(N)nc(N)nc1N[C@H](C)c1c2cccc(N)c2c(O)n1-c1ccc(N)nc1,-9.370
CDK2_03_002474,Oc1cncc(-c2ccc3[nH]nc(N[C@H](O)c4ccccc4)c3c2)c1,-9.368
CDK2_03_001835,CCN1CC[NH+](Cc2ccc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c(F)cn3)nn2)CC1,-9.364
CDK2_01_002999,C[NH+](C)CCN1C(=O)c2cccc3cc(NCc4cccs4)cc(c23)[C@H]1O,-9.364
CDK2_02_000979,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@@H](O)C(F)(F)F,-9.362
CDK2_02_000414,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,-9.361
CDK2_01_004030,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(CCO)CC3)[nH+]2)on1,-9.360
CDK2_02_000167,NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-9.357
CDK2_02_000789,CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.357
CDK2_02_000690,CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21,-9.352
CDK2_03_002131,COc1ccc(F)cc1-c1ccnc2[nH]c(C3CCN(C(=O)[C@H]4C[C@@H](O)C[NH2+]4)CC3)cc12,-9.349
CDK2_01_009250,[NH3+][C@@H](CO)Cc1cn(-c2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)c2ccccc12,-9.341
CDK2_01_001475,C[C@@H]([NH3+])CCc1[nH]c2ccccc2c1[C@H]([NH3+])c1cc(N)c(N)c(N)c1,-9.339
CDK2_02_001359,CSc1ncc2c(n1)CCc1cnc(Nc3ccc(C(N)=O)cc3)nc1-2,-9.333
CDK2_02_000011,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCC[N@@H+](C)CC4)cc3)ncc2F)n1C(C)C,-9.331
CDK2_02_000347,NS(=O)(=O)c1ccc(NNc2c(O)cnc3ccc4[nH]ncc4c23)cc1,-9.329
CDK2_02_000924,C[C@@H](Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F)C(C)(C)O,-9.326
CDK2_03_002270,CCCN(CCC)c1ccc2[nH]nc(NC(=O)Cc3ccccc3)c2c1,-9.319
CDK2_03_001649,COc1ccc(F)cc1-c1ccnc2[nH]c([C@@H]3CCC[C@@H]([NH3+])C3)cc12,-9.317
CDK2_02_000379,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)[O-])c(N)c2)c2ncn(C(C)C)c2n1,-9.311
CDK2_03_000518,Cc1ccccc1Sc1nc(Nc2ccc3nc[nH]c3c2)ncc1C(F)(F)F,-9.310
CDK2_02_000926,CC[C@@H](Nc1nc(NCc2cc(C)[nH+]c(C)c2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.307
CDK2_03_000659,CCS(=O)(=O)c1cccc(-c2cc(C(=O)N[C@H]3CC[N@H+](C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,-9.304
CDK2_02_000524,CSc1ncc2c(n1)CCc1cnc(Nc3ccc(N)cc3)nc1-2,-9.302
CDK2_01_000530,CCc1nn(-c2c(N)cc(N)cc2N)c2nc(Cc3cccc(N)c3C)[nH]c(=O)c12,-9.298
CDK2_02_000224,Nc1cnn2c(NCc3cccnc3)cc(-c3ccccc3F)nc12,-9.292
CDK2_02_001476,Cc1nc(N(C)C)sc1-c1ccnc(Nc2cccc(NO)c2)n1,-9.290
CDK2_03_001820,Nc1ccc(-c2n[nH]c3ncnc(Nc4cccc(N)c4)c23)cc1,-9.288
CDK2_01_004824,Cc1nc2c(sc3nc4ccccc4n32)c(=O)[nH]1,-9.285
CDK2_02_001463,Cc1c(Nc2ncc(N)c(-c3cnc4ccccn34)n2)cnn1C1CC[NH2+]CC1,-9.281
CDK2_02_000683,Fc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12,-9.280
CDK2_02_000976,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=O)(=O)C3CC3)cc2)ncc1C(F)(F)F,-9.279
CDK2_02_000968,Cc1nc2ccc(-c3ccnc4[nH]c([C@H]5CC[N@@H+](CC(=O)N(C)C)CC5)cc34)cc2n1C(C)C,-9.279
CDK2_01_000083,NC(=[NH2+])[C@@H]1CCC[C@@H](CCC[C@H](c2ccccc2)c2c(O)cccc2O)C1,-9.278
CDK2_02_001323,CC[C@@H](Nc1nc(NCC2CC2)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.278
CDK2_03_003115,Nc1ccc(Oc2nc(Nc3ccc4nc[nH]c4c3)ncc2C(F)(F)F)cc1,-9.275
CDK2_03_002229,CC(C)n1cnc2c(NCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nc(N3CCC[C@@H]3CO)nc21,-9.274
CDK2_02_001459,CC1(C)c2cnc(Nc3ccccc3)nc2N([C@@H]2CCc3c(O)cccc32)[C@@H]1O,-9.273
