DrugGEN_MOL_ID,SMILES,DEEPScreen_Confidence_Score
MOL_02_009503,Cc1cc(-c2cn(CC3CNC3)c(C3CCN(c4ncnc(N)c4OC(C)C)CC3)n2)ccc1Cl,1
MOL_02_009932,CC(O)(O)c1cccc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)c1,1
MOL_02_009801,CNC(O)CC1CC(c2ccc(Cl)c(Cl)c2)C(NC(O)c2cc(-c3c(C)cnn3C)c(C)o2)CN1,1
MOL_02_009213,Cc1ccc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)cc1C,1
MOL_02_009646,Cc1cnn(C)c1-c1cc(C(O)NC2CNC(CCO)CC2c2ccc(Cl)c(Cl)c2)oc1C,1
MOL_02_009325,CCc1c(N)ncnc1N1CCC(c2nc(-c3cccc(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_009515,Cc1cc(NC(O)Cc2nc(O)cc(N3CCOCC3)n2)ccc1Cl,1
MOL_02_009694,CCc1c(N)ncnc1N1CCC(c2nc(-c3cncc(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_010059,CC(C)Oc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_009937,Cc1cc(NC(O)Cc2nc(O)cc(N3CCOCC3)n2)cc(C)c1Cl,1
MOL_02_009304,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3c(-c4ccccc4Cl)cccc32)n1,1
MOL_02_009427,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(C)c(Cl)c3)cn2CCN2CCCC2)CC1,1
MOL_02_009607,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3c(-c4ccccc4)cccc32)n1,1
MOL_02_009272,CCOc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CCN2CCCC2)CC1,1
MOL_02_009696,Nc1ncnc(N2CCC(c3nc(-c4cccc(C(Cl)(Cl)Cl)c4)cn3CCN3CCCC3)CC2)c1C1CCC1,1
MOL_02_009089,COc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CC2CNC2)CC1,1
MOL_02_010033,NCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(Cl)c3)cn2CCN2CCCC2)CC1,1
MOL_02_009428,Cc1cc(-c2cn(CCNCC(C)C)c(C3CCN(c4ncnc(N)c4C(N)O)CC3)n2)ccc1Cl,1
MOL_02_009654,NCc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_009817,Cc1cc(-c2cn(CCNCC3CC3)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)ccc1Cl,1
MOL_02_009832,Cc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_009911,Cc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(Cl)(Cl)Cl)c3)cn2CCNC2CC2)CC1,1
MOL_02_009206,CNCCn1cc(-c2ccc(Cl)c(C)c2)nc1C1CCN(c2ncnc(N)c2CN)CC1,1
MOL_02_009435,Cc1cnn(C)c1-c1cc(C(O)NC2CNC(CCNC(C)(O)O)CC2c2ccc(Cl)c(Cl)c2)oc1C,1
MOL_02_009839,Cc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4OC(C)C)CC3)n2)ccc1Cl,1
MOL_02_009244,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(OC)c3)cn2CCN2CCC2)CC1,1
MOL_02_009420,Cc1cc(-c2cn(CCN(C)C(C)C)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)ccc1Cl,1
MOL_02_009394,Cc1cc(-c2cn(CCNC3CCCC3)c(C3CCN(c4ncnc(N)c4C(N)O)CC3)n2)ccc1Cl,1
MOL_02_009901,Cc1cnn(C)c1-c1cc(C(O)NC2CNC(CCOC(C)O)CC2c2ccc(Cl)c(Cl)c2)oc1C,1
MOL_02_009980,Cc1cc(-c2cn(CCNC3CCCC3)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)ccc1Cl,1
MOL_02_009981,Cc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(C)C)c3)cn2CCN2CCC2)CC1,1
MOL_02_009348,Cc1cc(-c2cn(CCNC(C)C)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)ccc1Cl,1
MOL_02_009876,CC(C)C(O)N1CCN(c2cccc(-c3ccc4nc(-c5cccnc5N)n(-c5ccc(C6(N)CCC6)cc5)c4n3)c2)CC1,1
MOL_02_009458,CCN(CC)CCn1cc(-c2ccc(Cl)c(C)c2)nc1C1CCN(c2ncnc(N)c2CN)CC1,1
MOL_02_009641,Nc1ncnc(N2CCC(c3nc(-c4ccnc(C(Cl)(Cl)Cl)c4)cn3CCN3CCC3)CC2)c1C(N)O,1
MOL_02_009386,Cc1cc(-c2cn(CCN(C)C)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)ccc1Cl,1
MOL_02_009168,Nc1ncnc(N2CCC(c3nc(-c4ccnc(C(Cl)(Cl)Cl)c4)cn3CCN3CCC3)CC2)c1Cl,1
MOL_02_009341,NC(O)c1cccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1
MOL_02_009038,COc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)ccc1Cl,1
MOL_02_009047,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3c(Cl)cccc32)n1,1
MOL_02_009137,Cc1cnn(C)c1-c1cc(C(O)NC2CNCCC2c2cccc(C(Cl)(Cl)Cl)c2)oc1C,1
MOL_02_010045,Oc1cc(N2CCOCC2)nc(CC(O)N2c3ccccc3C3CCCC32)n1,1
MOL_02_009562,Nc1ncnc(N2CCC(c3nc(-c4ccc(Cl)c(Cl)c4)cn3CCN3CCCC3)CC2)c1C1CCC1,1
MOL_02_009345,Cc1cc(-c2cn(CCN(C)C)c(C3CCN(c4ncnc(N)c4OC(C)C)CC3)n2)ccc1Cl,1
MOL_02_009214,Cc1cc(-c2cn(CCN(C)C)c(C3CCN(c4ncnc(N)c4C(N)O)CC3)n2)ccc1Cl,1
MOL_02_009284,Nc1ncnc(N2CCC(c3nc(-c4ccc(Cl)c(C(Cl)(Cl)Cl)c4)cn3CCN3CCCC3)CC2)c1Cl,1
MOL_02_009816,Oc1cc(N2CCOCC2)nc(CC(O)N2c3ccccc3CC2CCl)n1,1
MOL_02_009542,Cc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Cl)CC3)n2)ccc1Cl,1
MOL_02_009535,CCOc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_010065,Cc1ccc(-c2cn(CCN3CCCC3)c(C3CCN(c4ncnc(N)c4Cl)CC3)n2)cc1Cl,1
MOL_02_009150,Nc1ncnc(N2CCC(c3nc(-c4ccc(Cl)c(C(Cl)(Cl)Cl)c4)cn3CCN3CCC3)CC2)c1Cl,1
MOL_02_009917,CNC(O)Nc1ccc(CNc2c(C(O)Nc3ccc(CC(Cl)(Cl)Cl)cc3)cnn2C)cn1,1
MOL_02_009640,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3c(OC(Cl)Cl)cccc32)n1,1
MOL_02_009055,CCN(CCn1cc(-c2ccc(Cl)c(C)c2)nc1C1CCN(c2ncnc(N)c2OC(C)C)CC1)C(C)C,1
MOL_02_009339,CC(O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(O)Nc5ccccc5)cc4)c3n2)c1,1
MOL_02_009596,Nc1ncnc(N2CCC(c3nc(-c4cccc(C(Cl)(Cl)Cl)c4)cn3CCN3CCCC3)CC2)c1Cl,1
MOL_02_009976,CC(O)(O)c1cccc(-c2ccc3c(c2)nn2cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nc32)c1,1
MOL_02_009928,Cc1cc(-c2cn(CCN3CCCC3)c(C3CCN(c4ncnc(N)c4Cl)CC3)n2)ccc1Cl,1
MOL_02_009862,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_009403,Cc1cc(-c2cn(CCN3CCCC3)c(C3CCN(c4ncnc(N)c4C(N)O)CC3)n2)ccc1Cl,1
MOL_02_009470,Cc1ncnc(N)c1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1,1
MOL_02_009422,NC1(c2ccc(-c3nc4n(c3-c3ccncc3)COc3cccc(Cl)c3-4)cc2)CC(O)(C2CC2)C1,1
MOL_02_009083,NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3c(Cl)cccc3-4)cc2)CC(O)(C2CC2)C1,1
MOL_02_009787,Cc1cc(-c2cn(CCN3CCCC3)c(C3CCN(c4ncnc(N)c4C4CCC4)CC3)n2)ccc1Cl,1
MOL_02_009418,NC1(c2ccc(-n3c(-c4cccnc4Cl)nc4ccc(-c5ccccc5)nc43)cc2)CCC1,1
MOL_02_009632,Nc1ncnc(N2CCC(c3nc(-c4cccc(Cl)c4)cn3CCN3CCCC3)CC2)c1Cl,1
MOL_02_009683,NC(O)c1cc(Cl)cn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1
MOL_02_009531,Cc1cccc2c1-c1nc(-c3ccc(C4(N)CC(O)(C5CC5)C4)cc3)c(-c3ccccc3)n1CO2,1
MOL_02_009730,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(C(O)NCCO)cc3-4)cc2)C1,1
MOL_02_009367,NC(O)c1ccc(-c2cnc3cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nn23)cc1,1
MOL_02_009061,CC(O)NC1CCN(c2cccc(-c3ccc4nc(-c5cccnc5N)n(-c5ccc(C6(N)CCC6)cc5)c4n3)c2)CC1,1
MOL_02_009172,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CCN2CCC2)CC1,1
MOL_02_009221,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3cc(Cl)ccc3-4)cc2)C1,1
MOL_02_009823,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(CN)cc3-4)cc2)C1,1
MOL_02_009565,CN(C)C(O)c1ccc2c(c1)-c1nc(-c3ccc(C4(N)CC(C)(O)C4)cc3)c(-c3ccccc3)n1CO2,1
MOL_02_009872,COc1nc(C(N)O)cn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1
MOL_02_009256,COC(O)c1ccc(-c2ccc3c(c2)nn2cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nc32)cn1,1
MOL_02_009293,CC(C)(C)C(O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(C5(N)CCC5)cc4)c3n2)c1,1
MOL_02_019447,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CCN)CC1,1
MOL_02_027809,CNCCn1cc(-c2ccc(Cl)c(C)c2)nc1C1CCN(c2ncnc(N)c2N)CC1,1
MOL_02_017998,Cc1cc(-c2cn(CC3CN(C)C3)c(C3CCN(c4ncnc(N)c4C)CC3)n2)ccc1Cl,1
MOL_02_012862,NCC(CN)c1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,1
MOL_02_013108,Cc1cc(-c2cn(CCN(C)C)c(C3CCN(c4ncnc(N)c4C)CC3)n2)ccc1Cl,1
MOL_02_000983,CN(CCC(C)(O)O)C1CCC(CCN)(n2cc(C(N)O)c(Nc3ccc(Cl)cc3)n2)CC1,0.972
MOL_02_004991,CC(O)(O)N1CC(O)N(CCc2ccccc2Cl)C(C)(C(O)Nc2ccc3c(c2)OCCO3)C1,0.972
MOL_02_002287,CNc1nccc(Nc2ccc(C(O)C(O)Nc3cc(C(C)(C)C)cc(NC(C)(O)O)c3OC)c3ccccc23)n1,0.972
MOL_02_000180,COC(O)Nc1cccc(CNc2cc(C(Cl)(Cl)Cl)cc3ncc(N4CCN(C)CC4)cc23)c1,0.972
MOL_02_003098,CC(C)(C)OC(O)N1CCC(CCN)(n2cc(C(N)O)c(Nc3ccc(Cl)nc3)n2)CC1,0.972
MOL_02_005218,CC(C)(Oc1cccc(CCCN(Cc2ccc(C(Cl)(Cl)Cl)cc2C(Cl)(Cl)Cl)C(O)Cc2ccc(C(Cl)(Cl)Cl)cc2)c1)C(O)O,0.972
MOL_02_003440,CC(C)C1(C(O)Nc2cc(C(Cl)(Cl)Cl)cc(C(Cl)(Cl)Cl)c2)CC(O)N(c2ccccc2CO)C1,0.972
MOL_02_002955,CN1CCN(c2ccc(C(O)Oc3ccccc3)cc2NC(O)c2ccc(Cl)c(N(O)O)c2)CC1,0.972
MOL_02_003848,COc1ccc(C23c4ccccc4C(O)N2CCN3C(O)c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,0.972
MOL_02_003515,COc1ccc(C(O)Nc2cc(C)c(Cl)c(C3(CCl)CC(C(Cl)(Cl)Cl)OC(N)N3)c2)nc1,0.972
MOL_02_000643,Cc1cc(C(O)Nc2cccc(-c3ccnc4c(N)cccc34)c2)ccc1C(Cl)(Cl)Cl,0.972
MOL_02_005310,CN1C(N)NC2(c3cc(-c4cccnc4Cl)ccc3OC3CCCOC32)C1O,0.972
MOL_02_001273,CC(CCCN(C)C)N(C)CCC(Oc1ccc(C(Cl)(Cl)Cl)cc1)c1ccccc1,0.972
MOL_02_008440,CCCN(Cc1cc2c(O)nc(CO)nc2cc1C)c1ccc(C(O)NCc2cccc(N(O)O)c2)c(Cl)c1,0.972
MOL_02_004135,CCCN(CCN1CCOCC1)c1cn(-c2ccc(C)c(C)c2)nn1,0.972
MOL_02_001288,OC(NCc1ccccc1)c1cc(Oc2ccc(CCc3ccccn3)cc2)ccn1,0.972
MOL_02_008569,COc1ccc2nc3cc(C)ccc3c(Nc3cccc(N4CCOCC4)c3)c2c1,0.972
MOL_02_000430,Cn1cc(-c2cc3c(-c4cccc(C(Cl)(Cl)Cl)c4)c(Cc4cccc5ccccc45)cc(O)n3c2C(O)O)nn1,0.972
MOL_02_002721,NC(O)c1cc2n(n1)C(C(Cl)(Cl)Cl)CC(c1ccco1)N2,0.972
MOL_02_003781,Cc1ccc(C(NC2=C(O)C(O)=C2Nc2cccc(C(O)N(C)CC(Cl)(Cl)Cl)c2O)C2(C)COC2)o1,0.972
MOL_02_008829,Cc1cc(-c2nc(-c3ccc(OC(Cl)(Cl)Cl)c(Cl)c3)n3c2CCOCC3)cc(C)n1,0.972
MOL_02_001055,CCc1ccc(-c2cc(C(Cl)(Cl)Cl)nn2-c2ccc(C(N)(O)O)c(COC(O)CC)c2)cc1,0.972
MOL_02_009326,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C(N)O)c3)cn2CCN2CCC2)CC1,0.972
MOL_02_009702,Oc1cc(N2CCOCC2)nc(CC(O)Nc2ccccc2OCCN2CCCCC2)n1,0.972
MOL_02_009851,Cc1ccc(C2CC(CCO)NCC2NC(O)c2cc(-c3c(C)cnn3C)c(C)o2)cc1C,0.972
MOL_02_009356,Cc1c(N)ncnc1N1CCC(c2nc(-c3ccc(O)c(C(Cl)(Cl)Cl)c3)cn2CCN2CCCC2)CC1,0.972
MOL_02_009478,CCOc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CCN(CC)CC)CC1,0.972
MOL_02_009660,Cc1cnn(C)c1-c1coc(C(O)NC2CNCCC2c2ccc(Cl)c(Cl)c2)c1,0.972
MOL_02_009437,Cc1cc(-c2cn(CC3CNC3)c(C3CCN(c4ncnc(N)c4CN)CC3)n2)ccc1Cl,0.972
MOL_02_009461,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3c(OC(Cl)(Cl)Cl)cccc32)n1,0.972
MOL_02_009959,NCc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C4CC4)c3)cn2CCN2CCC2)CC1,0.972
MOL_02_009931,NCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,0.972
MOL_02_009678,CN(C)CCn1cc(-c2ccc(Cl)c(C(Cl)(Cl)Cl)c2)nc1C1CCN(c2ncnc(N)c2Cl)CC1,0.972
MOL_02_009886,Cc1cc(-c2cn(CC3CN(CO)C3)c(C3CCN(c4ncnc(N)c4C(C)C)CC3)n2)ccc1Cl,0.972
MOL_02_009695,CCOCCN(CC(O)CN1CCCC2(CCc3cc4c(cc3O2)CNC4O)C1)C(O)(O)c1c(C)cccc1C,0.972
MOL_02_009595,COC(O)c1cccc(-c2cnc3cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nn23)c1,0.972
MOL_02_009884,Nc1ncnc(N2CCC(c3nc(-c4ccnc(C(Cl)(Cl)Cl)c4)cn3CCN3CCC3)CC2)c1-c1cnoc1,0.972
MOL_02_009081,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(Cl)c3)cn2CCN2CCCC2)CC1,0.972
MOL_02_009026,CCn1c(-c2nonc2N)nc2c(CCC(C)(C)O)nc(CNC)cc21,0.972
MOL_02_009597,CC(C)Oc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C(Cl)(Cl)Cl)c3)cn2CCN(C)C)CC1,0.972
MOL_02_009653,CCn1c(-c2nonc2N)nc2c(CCC(C)(C)O)nc(CN)cc21,0.972
MOL_02_009106,CCONC(O)c1ccc2c(c1)-c1nc(-c3ccc(C4(N)CC(C)(O)C4)cc3)c(-c3ccccc3)n1CO2,0.972
MOL_02_009577,NC(O)c1cc(Cl)c2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)n2c1,0.972
MOL_02_009717,CCONC(O)c1ccc2c(c1)OCn1c-2nc(-c2ccc(C3(N)CC(C)(O)C3)cc2)c1-c1ccccc1,0.972
MOL_02_009877,Oc1ccc(C2OC3CC(O)OC3C3C(O)c4ccccc4C(O)C23)cc1,0.972
MOL_02_037619,CC(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4CO)CC3)n2)ccn1,0.972
MOL_02_006549,Cc1ccccc1C(O)Nc1ccc2c(c1)-c1c(c(C(N)O)nn1-c1ccc(OCC(O)CO)cc1)CC2,0.944
MOL_02_001074,Cc1nc2cnccc2n1-c1ccc(C2CC(O)Nc3c(c(-c4ccccc4)nn3C)N2)cc1,0.944
MOL_02_001901,Cc1c(NC(O)NC(O)c2c(Cl)cccc2Cl)ccc(C(O)C(Cl)(Cl)C(Cl)Cl)c1C,0.944
MOL_02_002086,Cc1nc(C(O)NC(CC(O)O)c2ccc(-c3ccccc3)cc2)c(N)nc1N,0.944
MOL_02_004030,Cc1nc(NC(C)c2cccc(-c3cnc(N4CCNCC4)nc3)c2)cc(-c2ccc3occ(C)c3c2)n1,0.944
MOL_02_000679,CC1(c2nc(NC(O)c3ncc(OCCCl)nc3N)ccc2Cl)NC(N)OCC1(Cl)Cl,0.944
MOL_02_007083,CC1(c2cc(NC(O)c3ncc(Cl)cc3Cl)ccc2Cl)CC(O)(O)C2(CC2)C(N)N1,0.944
MOL_02_004628,Oc1cccc(O)c1C(O)NC(O)NC1c2ccc(Cl)cc2-c2ccc(Cl)cc21,0.944
MOL_02_001274,OC(OC1CCN2CCOC1C2)c1cn(CC(Cl)Cl)c2ccc(Cl)cc12,0.944
MOL_02_000235,COCCn1nc2cc(C(O)NCc3cc(C(Cl)(Cl)Cl)cc(C(Cl)(Cl)Cl)c3)ccc2c1OC,0.944
MOL_02_004146,Cc1ccc(OCC(O)Nc2nnc(-c3cc(C(C)C)c(O)cc3O)n2-c2ccc3c(ccn3C)c2)cc1,0.944
MOL_02_002346,NC(O)(O)c1ccc(NC(O)Nc2cccc(C(Cl)(Cl)Cl)c2Cl)cc1,0.944
MOL_02_006327,OC(CCC(O)(O)c1nc(-c2ccc3c(c2)OCO3)cc(C(Cl)(Cl)Cl)n1)Nc1ccccc1C(Cl)(Cl)Cl,0.944
MOL_02_001745,Cc1cc(-c2nc(-c3ccc(OC(Cl)Cl)c(Cl)c3)n3c2CCOC(C)C3)cc(C)n1,0.944
MOL_02_006576,COc1cc2ncnc(Nc3c(Cl)ccc(O)c3Cl)c2cc1OC,0.944
MOL_02_003986,CC(O)(O)c1ccc(-c2nc(NCC3CCCCC3)cc(C(Cl)(Cl)Cl)n2)cc1,0.944
MOL_02_002976,Cc1ccc(C2c3c(O)cc(O)cc3C3C(c4ccc(O)cc4)c4c(O)cc(O)cc4C23)cc1,0.944
MOL_02_009338,Cn1nccc1-c1coc(C(O)NC2CNCCC2c2ccc(Cl)c(Cl)c2)c1,0.944
MOL_02_009312,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3c(-c4ccncc4)cccc32)n1,0.944
MOL_02_009334,NCc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(Cl)c3)cn2CCN2CCC2)CC1,0.944
MOL_02_009843,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(Cl)(Cl)Cl)c3)cn2CCN2CCC2)CC1,0.944
MOL_02_009589,Cc1ccccc1-c1cccc2c1CCN2C(O)Cc1nc(O)cc(N2CCOCC2)n1,0.944
MOL_02_009098,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C)c3)cn2CCN(CC)CC)CC1,0.944
MOL_02_009927,Nc1ncnc(N2CCC(c3nc(-c4cccc(C(Cl)(Cl)Cl)c4)cn3CCN3CCCC3)CC2)c1C(N)O,0.944
MOL_02_009253,Oc1cc(N2CCOCC2)nc(CC(O)N2CC3(CC3)c3ccccc32)n1,0.944
MOL_02_009042,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3cc(Cl)c(Cl)cc32)n1,0.944
MOL_02_009473,Nc1ncnc(N2CCC(c3nc(-c4ccc(Cl)c(C(Cl)(Cl)Cl)c4)cn3CCN3CCCCC3)CC2)c1Cl,0.944
MOL_02_009103,Cc1ccc(-c2nc3ccc(-c4cccc(N5CCOCC5)c4)nc3n2-c2ccc(C3(N)CCC3)cc2)cc1,0.944
MOL_02_009965,CCOc1c(N)ncnc1N1CCC(c2nc(-c3ccc(Cl)c(C(Cl)(Cl)Cl)c3)cn2CCNC(C)C)CC1,0.944
MOL_02_009491,Oc1cc(N2CCOCC2)nc(CC(O)N2CCc3c2ccc(Cl)c3Cl)n1,0.944
MOL_02_009309,Nc1ncccc1-c1nc2ccc(-c3cccc(N4CCN(C(O)C5CC5)CC4)c3)nc2n1-c1ccc(C2(N)CCC2)cc1,0.944
MOL_02_009209,Cc1cc(N2CCOCC2)nc(CC(O)N2c3ccccc3CC2C)n1,0.944
MOL_02_009347,Cc1ccc(-c2cn(CCN3CCCC3)c(C3CCN(c4ncnc(N)c4C4CCC4)CC3)n2)cc1Cl,0.944
MOL_02_009498,COC(O)CCc1ccc2nn3cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nc3c2c1,0.944
MOL_02_009984,CC1Cc2c(cccc2C(Cl)(Cl)Cl)N1C(O)Cc1nc(O)cc(N2CCOCC2)n1,0.944
MOL_02_009037,COc1nc(Cl)cn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,0.944
MOL_02_009149,Nc1ncccc1-c1nc2ccc(Cc3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1,0.944
MOL_02_016956,CC1OCc2ncnc(N3CCN(C(O)C(CC(C)(C)N)c4ccc(Cl)c(Cl)c4)CC3)c21,0.944
MOL_02_012792,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccnc(C(Cl)(Cl)Cl)c3)cn2CCN(C)C)CC1,0.944
MOL_01_026927,CCCc1ccc(C(N)Nc2ccc(OC)nc2C(N)NCC2CCOCC2)c2ccccc12,0.917
MOL_02_000185,CN(CC(CC1CCCCC1)N(CC(Cc1ccccc1)N(CCc1ccccc1)NO)NO)NO,0.917
MOL_02_005769,Cc1ccc(C(O)Nc2cc(CN3CCN(C)CC3)cc(C(Cl)(Cl)Cl)c2)cc1CCc1cnc2cnccn12,0.917
MOL_02_005154,Cc1ccc(CC(CCC(O)NC2CCCCNC2O)N(C)C(O)c2cc(C(Cl)(Cl)Cl)cc(C(Cl)(Cl)Cl)c2)cc1,0.917
