DrugGEN-NoTarget_MOL_ID,SMILES
MOL_03_000715,C#CCN(NO)C(O)NCCCC(NC(C)O)C(O)NCc1ccccc1
MOL_03_004211,CCCCc1ncc(-c2ccccc2C(O)O)n1Cc1ccccc1Cl
MOL_03_009228,Oc1ccc(C(O)NC2CNCC2NC(O)c2cc(O)c(C(O)c3c(O)cccc3C(O)O)c(O)c2)cc1
MOL_03_000163,CC(C)CCCC(C)CCCC(C)C(C)CO[PH](O)(O)O[PH](O)(O)O
MOL_03_008887,CCCCn1nc(C(O)N2CCOCC2)c2c1-c1ccccc1S(O)(O)C2
MOL_03_001127,COc1ccc(C2CC(O)CC(c3ccccc3)C2O)cc1
MOL_03_000182,CCCc1cc(N2CCCC2Cn2cc(C)cn2)n2ncnc2n1
MOL_03_009687,CCC1NC(N)NC(N)N1c1ccc(Cl)cc1
MOL_03_009275,CCCOC(O)C(CC(C)C)NC(O)CCc1ccccc1
MOL_03_003769,CCOC(O)c1sc(NC(O)CN(C)C)nc1C
MOL_03_008854,CC(O)OC1C(O)C2C(C)C(O)CC(C(OC(O)c3ccccc3)C3C1(C)CCC1OCC13O)C2(C)C
MOL_03_008646,CC(O)OCC(O)N1CCN(c2ccc(Nc3ncc4c5ccnc(F)c5n(C5CCCC5)c4n3)nc2)CC1
MOL_03_001941,NC(O)C1CCN(c2c(S(O)(O)c3ccccc3)cnc3ccc(Cl)cc23)CC1
MOL_03_003971,N#Cc1ccc(C(c2cccnc2)N2CCC(NC(O)c3cccc(C(F)(F)F)c3)CC2)cc1
MOL_03_004935,Cc1cc(-c2cncnc2)nnc1N1CCN(c2ncccn2)CC1
MOL_03_008890,OC(Nc1ccc(C2CCN(C(O)C3CCOC3)CC2)cc1)N1Cc2ccncc2C1
MOL_03_009021,CN(CCCC#N)C1CCc2ccccc2C1
MOL_03_007723,N#Cc1ccc(C(O)Nc2ccc(C(O)N3CCCC3C#N)cc2)cc1
MOL_03_004014,COc1cc(Cl)ccc1OCc1cc(C(O)N2CCN(c3ccccn3)CC2)no1
MOL_03_001395,CCC(C)C(NC(O)c1ccccc1NC(O)c1ccco1)C(O)NC1CCCCC1
MOL_03_006481,CC(C)C1CCC2(C(O)NCC(O)NC(C)C(O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(CO)C5CCC43C)C12
MOL_03_005237,OC(Nc1cccc(C(F)(F)F)c1)c1cc2nc(-c3ccco3)cc(C(F)(F)Cl)n2n1
MOL_03_007163,OC1CCCC(c2cccs2)O1
MOL_03_005735,COc1ccc(C)cc1CN1CCN(Cc2nccn2C)C(C)C1
MOL_03_000914,COCCCNC(O)c1c(N)n(-c2ccc(S(N)(O)O)cc2)c2nc3ccccc3nc12
MOL_03_006263,CCc1c2c(nc3ccc(O)cc13)-c1ccc(O)cc1OC2
MOL_03_007447,CC(C)N1CCN(C(O)Nc2ccccc2)CC1
MOL_03_002779,OC(CN1CCN(Cc2ccccc2Cl)C1O)NCc1cccnc1
MOL_03_004964,ON(O)c1ccc(OCCCOc2ccc(-n3cccc3)cc2)cc1
MOL_03_003653,CCCCC#Cc1cnc2nc(N)nc(O)c2n1
MOL_03_006134,COc1cccc(C2NNC(O)C2NNc2ccc(N(C)C)cc2)c1
MOL_03_001148,OCc1cc(C(O)CNCCc2ccc(NCC(O)c3ccccc3)cc2)ccc1O
MOL_03_004470,CCN(CC(O)NC(C)C)S(O)(O)N1CCCC(C)C1
MOL_03_004335,CC(O)OCC12CCC(C)(C)CC1C1CC(O)C3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)CC2
MOL_03_002718,CC(C)(NS(O)(O)c1c(F)cccc1F)C(O)NC1C2CC3CC1CC(C(N)O)(C3)C2
MOL_03_000765,CCOc1ccc(-c2nc(-c3cccc4c3CCN4CC(N)(CO)CO)no2)cc1OCC
MOL_03_004677,Cc1nn(C)c(Oc2cccc(Cl)c2)c1C(O)Nc1ccc(F)cc1
MOL_03_009718,COc1ccc(C#CC2(O)CCC3(C)C(CCC4C3CCC3(C)C(C(C)O)CCC43)C2)cc1OC
MOL_03_004359,CN(C)CCCNc1c2nc3ccccc3c-2n(C)c2ccccc12
MOL_03_009983,COc1ccc(C(O)CCC(O)Nc2ccc(F)cc2F)cc1
MOL_03_004086,CC1CCN(S(O)(O)N2CC(N)C(c3ccccc3)C2)CC1
MOL_03_002674,Cn1cnc(S(O)(O)NC2Cc3cc(C#N)cnc3N(Cc3cncn3C)C2O)c1
MOL_03_000133,CN1CCc2c1nc1ccccc1c2NC(O)CN1CCCC1
MOL_03_001482,CCc1ccccc1NC(O)Nc1cccc(NC(O)c2cc(Cl)cc(Cl)c2)c1
MOL_03_001694,CC(C)CN(CC(O)C(Cc1ccccc1)NC(O)C1CN(c2cccc(N)c2)C(O)O1)S(O)(O)c1ccc2ncsc2c1
MOL_03_009424,Nc1c(C(O)N2CCCCC2)sc2nc(-c3ccccc3)cc(C(F)(F)F)c12
MOL_03_004151,COc1ccc2c(c1)nc(NC(O)c1ccccc1)n2C
MOL_03_000670,CNC(O)c1ccc(CCC(O)NCC(O)N(C)c2ccc(Cl)c(COc3cccc4ncc(C)nc34)c2Cl)cc1
MOL_03_003419,CC(O)Nc1ccc(NC(O)C2CCCN2CCC(O)C(F)(F)F)cc1
MOL_03_002853,CC1(C)CC(O)C(C(c2cccc(N(O)O)c2)C2C(O)CC(C)(C)CC2O)C(O)C1
MOL_03_004658,OC(CCc1ccccc1)Nc1ccc2c(c1)OCO2
MOL_03_006635,Oc1ccc(C2CNCc3sccc32)cc1O
MOL_03_005116,CC(O)c1cc2c(o1)C(O)c1cccc(O)c1C2O
MOL_03_007983,NC(O)COCC(Cc1ccccc1)NC(O)C1CCCN1C(O)OCc1ccccc1
MOL_03_002896,OC(NC1CCN(C(c2cnccn2)c2ccc(F)cc2F)CC1)C1CCCCC1
MOL_03_000918,Oc1ccc(Cl)cc1C(O)CCc1ccc(N(O)O)o1
MOL_03_000083,CN(Cc1nccs1)C1CCN(c2cccc(-c3cscn3)c2)CC1
MOL_03_003301,CC(C)Oc1ccccc1N1CCN(Cc2cc(CN3CCCCC3O)no2)CC1
MOL_03_008512,c1cc(CNCC2CCCO2)ccn1
MOL_03_002852,CCCNC(O)NS(O)(O)N1CCC(CCNC(O)c2cscn2)CC1
MOL_03_003245,ONC(O)CC(O)c1cccc(O)c1
MOL_03_001777,Cc1ccc(N2CCN(C(O)c3ccc4c(Cl)c5c(nc4c3)CCCC5)CC2)c(C)c1
MOL_03_001550,CC1CN(S(O)(O)c2c(Cl)ccc(NC(O)Nc3cccc(F)c3Cl)c2O)CC(C)O1
MOL_03_007778,OC(NCCCOc1cccc(CN2CCCCC2)c1)NCCNC(O)c1ccccc1
MOL_03_001914,OC(NCCc1ccccn1)C1(n2cnnn2)CCCCC1
MOL_03_002529,OS(O)(CCC1OCCC2(S(O)(O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccnnc1
MOL_03_004254,CCCN(CCC)c1c(C)nc(-c2c(C)cc(C)cc2C)nc1OC
MOL_03_004534,COc1cccc(NC(O)NC2CCN(Cc3nnnn3Cc3ccc4c(c3)OCO4)CC2)c1
MOL_03_009793,CCC1(CC)OC(c2ccc(S(C)(O)O)cc2)C(c2ccc(OC)c(F)c2)C1O
MOL_03_003876,OC(CCc1ccc(CC2SC(S)N(C(Cc3ccccc3)C(O)O)C2O)cc1)c1ccc(Cl)cc1Cl
MOL_03_003234,Cc1c(CN2CCC(Nc3ncnc4sc(CC(F)(F)F)cc34)CC2)ccc2c1cc(C#N)n2CCN1CCNCC1
MOL_03_004344,COCCNC(O)c1ccc(Oc2sc(C(N)O)c3c2-c2sncc2CC3)c(C)n1
MOL_03_000786,CCCOc1ccc(NC(O)CC2C(O)N(c3ccccc3)C(O)N2CCC(C)C)cc1
MOL_03_009147,COC(O)c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1
MOL_03_004448,Cc1cc(C)c2cccc(-c3ccc(Cl)cc3Cl)c2n1
MOL_03_001630,Oc1nc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccccc3)CC2)o1
MOL_03_001207,COc1ccccc1C1CCN(C(O)Cc2cccc(F)c2F)C1
MOL_03_002742,OC(O)C1CCCN(C(S)S)C1
MOL_03_003337,Cn1nnc2ccc(-c3ccccc3Cl)c(CN)c21
MOL_03_002457,OC1CN(c2csc(-c3ccccc3)c2Cl)S(O)(O)N1
MOL_03_001218,CCc1nc2ccc(C)cc2n1CCCNc1ccc(C)cc1C
MOL_03_004049,CC(O)Oc1ccccc1C(O)OC1COC2C(OC(O)c3ccccc3O)COC12
MOL_03_008253,COC(O)C1CC(OCSC)C(O)C2C1(C)CCC1C(O)OC(c3ccoc3)CC12C
MOL_03_004649,OC1N(c2ccnc(C(F)(F)F)c2)C2CC2N1c1cnccc1C1CC1
MOL_03_009436,NC1CC(N)CN(c2nc(Nc3ccc(NC(O)c4ccc(Cl)cc4)c(O)c3)nc(N3CC(N)C3)n2)C1
MOL_03_007525,Oc1cccc(C(O)CCc2ccc(-n3ccnc3)cc2)c1
MOL_03_006682,CC1(CC(O)NCc2cccc(Cl)c2Cl)CC2(CCCCC2)OO1
MOL_03_007903,CC(O)N1CCN(C(O)C(Cc2cccc(C(N)N)c2)NS(O)(O)NCc2ccc(-c3ccccc3)cc2)CC1
MOL_03_002178,NS(O)(O)c1ccc(NNCc2ccc(O)c(O)c2O)c(N(O)O)c1
MOL_03_005707,CCCCCCC1CC2CCCC2(C(C)c2ccccc2)C1c1ccc(CC)cc1
MOL_03_001424,OC(Nc1ccc(Cl)cc1)c1ccc2c(c1)S(O)(O)c1ccccc1C2O
MOL_03_008799,COc1ccc2c(c1)CC1C(CO2)NN(c2ccccc2)C1O
MOL_03_009244,Cc1cc(C)c2sc(NC(O)c3nc4ccccc4s3)nc2c1
MOL_03_001098,CN(C)C(O)c1ccccc1NC(O)Cc1cccc2ccccc12
MOL_03_000632,Cc1ccc(S(O)(O)NO)cc1
MOL_03_005845,COc1ccc(-c2cc(N)n(S(O)(O)c3ccccc3)n2)cc1OC
MOL_03_007483,Cc1cccc(NC(O)Nc2ccc(-c3ccc(N)c4c3CNC4O)cc2)c1
MOL_03_000026,Cc1c(C(O)O)sc(S(O)(O)N2CCN(C(O)Cc3ccc(F)cc3)CC2)c1C(O)O
MOL_03_000259,Nc1ncnc2c1nc(SCc1ccc(Cl)cc1)n2C1OC2CO[PH](O)(O)OC2C1O
MOL_03_000590,COC(O)Nc1ccc2c(c1)NC(O)C(C)CCCC(N1CCC(c3cccc(C)c3C)CC1O)c1cc-2ccn1
MOL_03_007684,OC(O)COCCCCC1CCCC1NS(O)(O)c1ccc(F)cc1
MOL_03_009511,CCCCNC(O)c1ccc2nc(-c3cccs3)c(-c3cccs3)nc2c1
MOL_03_000858,CC(CC(CO)NC(O)c1ccc(Oc2ccccc2)cc1)C(O)NO
MOL_03_005633,OC(NC1CCCC1)C(c1ccco1)N1CCC(O)(c2ccc(Cl)cc2)CC1
MOL_03_003200,CC(C)CCN1CCc2nc(N3CCOCC3)nc(NC(C)C)c2C1
MOL_03_009163,COc1ccc(C2C3CCc4ccc(F)cc4C3NN2C(C)O)cc1
MOL_03_004508,Nc1ccccc1NC(O)c1ccc(CC2COc3ccccc3C2)cc1
MOL_03_005559,Oc1c(CNCc2ccccc2)c2ccccc2n1-c1cccc(Cl)c1
MOL_03_003999,Cc1cc2nc(-c3c(F)cccc3F)n(Cc3c(F)cccc3F)c2cc1C
MOL_03_002551,ON(O)c1cc(S(O)(O)N2CCCC2)ccc1OCc1ccccc1
MOL_03_003018,Cc1ccccc1N1CC(C(O)N2CCCCCC2)CC1O
MOL_03_007065,OC(CN(CCNc1ccnc2cc(Cl)ccc12)C(O)c1cnccn1)NC1CCCCC1
MOL_03_001564,OC(NCc1ccco1)c1cnccn1
MOL_03_002946,COc1cc(F)c(C(C)C)cc1-c1ccc(SC(F)(F)F)cc1CN1C(O)OC(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1C
MOL_03_009053,CNc1nc(-n2cc(-c3ccccn3)nn2)nc2c1ncn2C1OC(CO)C(O)C1O
MOL_03_003696,Cc1ccccc1C(O)N1CCC2(CCCN2CCN(C)C)CC1
MOL_03_007416,OC(NS(O)(O)CCC12CC3CC(CC(C3)C1)C2)c1ccc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)cc1
MOL_03_005971,COc1cc(CC(C)C(C)Cc2ccc(OCCN(C)C)c(OC)c2)ccc1O
MOL_03_002652,CCCc1nn(C)c2c(O)nc(-c3cc(S(O)(O)N4CCNCC4)ccc3OCC)nc12
MOL_03_003797,Oc1nc2ccccc2nc1CCc1ccc(Cl)cc1
MOL_03_000128,Cc1ccc(Oc2ccc(Nc3ncnc4ccc(-c5cn(CCCCCC(O)NO)nn5)cc34)cc2C)cn1
MOL_03_002767,CCS(O)(O)N(Cc1ccc(F)c(C(F)(F)F)c1)c1cc2ccccc2s1
MOL_03_009120,CCCCOC(O)NS(O)(O)c1sc(CC(C)C)cc1-c1ccc(Cc2nnc(C(F)(F)F)o2)cc1
MOL_03_005480,CN(C)CCOC(O)c1cnn2c(-c3cccc(NC(O)c4cccc(C(F)(F)F)c4)c3)ccnc12
MOL_03_002173,COc1ccc(CCN(C)CCC2CN(C)C(S)c3cccnc3O2)cc1
MOL_03_000041,C#CC1(O)CCCC2C3CCC4CC(OC(C)O)CCC4(C)C3C(O)CC21C
MOL_03_001026,CC1OC(O)C2CC3CCCCC3C(CCc3ccc4ccccc4n3)C12
MOL_03_004128,OC(NCc1cccnc1)c1nc2c(s1)CCCN2c1ncccn1
MOL_03_008481,CCc1nn(C)c2c1C(c1cccc(F)c1)NCC(O)N2C
MOL_03_006208,Oc1cccc(-c2ccc(N3CCOCC3)cc2)c1
MOL_03_005556,Cc1ccc(C(NO)NC(C)C)c(Oc2ccc(F)c(F)c2)n1
MOL_03_008829,OC1CC(Nc2ccc(Cl)cc2)C(O)c2ccccc21
MOL_03_003410,OC(O)c1cccc(OCc2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)nc2C(F)(F)F)c1
MOL_03_002666,OC(CN(C1CC1)S(O)(O)c1ccc(S(O)(O)N2CCCCCC2)cc1)Nc1ccccc1
MOL_03_002488,Clc1ccc2c(NCCCNCc3cnccc3Cl)ccnc2c1
MOL_03_005050,CCn1cc(N(O)O)c(C(O)N2CCCCCC2)n1
MOL_03_005543,OC(Nc1ncc(-c2cn(CCOCc3ccccc3)nn2)s1)C(CC1CCOCC1)c1ccc(S(O)(O)C2CC2)cc1
MOL_03_002162,CCC(C)(C)NC(O)C(c1ccccn1)N(c1ccccc1)C(O)c1csnn1
MOL_03_005404,CC(O)c1nccc(N2CCN(c3ccc4ccccc4n3)CC2)n1
MOL_03_002007,Cc1ccc(NC(O)c2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CC(C)NC(C)C3)nc12
MOL_03_002746,Cc1cc(N2CCN(S(C)(O)O)C(CC(O)NCc3ccc4c(c3)OCO4)C2)nc(-n2ccnc2)n1
MOL_03_004880,COc1ccc(S(O)(O)N(CC(C)C)CC(O)C(Cc2ccccc2)NC(O)C2CCCS(O)(O)C2)cc1
MOL_03_006724,CCOC(O)C1C(C)NC(S)NC1c1ccc(NC(S)Nc2c(Cl)cccc2C(F)(F)F)cc1
MOL_03_005820,CC12CCC3C(CCC4C(O)(C#N)C(O)CCC34C)C1CCC(O)O2
MOL_03_007801,N#CC(CNC(S)Nc1ccccc1)Cc1ccc(Cl)c(Cl)c1
MOL_03_008758,CCCc1c(C(O)Nc2ccc(Cn3nc(C)c(CC(O)O)c3C)c(F)c2)oc2ccc(F)cc12
MOL_03_007906,CN1CCN(CC(O)C(O)(c2ccccc2)C2CCC2)CC1
MOL_03_006473,CN1CCN(C(O)CCn2c(NC(O)c3ccc(C#N)cc3)nc3cc(N(C)C(O)C4CCCCC4)ccc32)CC1
MOL_03_008778,CC12CC(CCO)CCC1C(C)(C)C(Cl)C(O)C2
MOL_03_000501,CC(C)Oc1nn2c(N)nnc2c2ccccc12
MOL_03_001375,Nc1ncnc2c1ncn2C1OC(CNS(O)(O)NC(O)CCCCC2SCC3NC(O)NC32)C(O)C1N
MOL_03_002064,Cc1cc2occ(CC(O)NNC(O)c3ccccc3)c2cc1C
MOL_03_001033,Cc1ccc(COc2ccc(S(O)(O)N3CCCC3)cc2C(N)O)cc1
MOL_03_002807,OC(Nc1ccc(Cl)cc1)c1cc(Cl)c(F)cc1NC(O)c1sc2ccccc2c1Cl
MOL_03_001406,NC(N)NC(O)Cn1c(-c2ccc(F)cc2)ccc1-c1ccc2ccccc2c1
MOL_03_008529,CC(C)(C)C(O)Nc1ccc(N2CCN(c3ccc(C(F)(F)F)cn3)CC2)nc1
MOL_03_000098,CC(C)(C)NC(O)C1CN(Cc2cccnc2)CCN1C[SH](O)CC(Cc1ccccc1)C(O)NC1c2ccccc2CC1O
MOL_03_007064,c1ccc2nc(NCCCCCCCCNc3ccc4ccccc4n3)ccc2c1
MOL_03_005452,CC1(C)CCCC2(C)C1CCC1(C)Oc3cc(O)c(O)cc3C(C#N)C12
MOL_03_005085,CCO[PH](O)(OCC)C1CC(C(O)Nc2cc3c4c(cccc4c2)C(O)N(CCN2CCCC2)C3O)ON1C
MOL_03_006064,N#CC(C#N)CC1CCCC2C(c3ccccc3)CC(c3ccccc3)OC12
MOL_03_008460,Cc1ccc(C(O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3cccnn23)nn1
MOL_03_007109,CC1(C)CCCC2(C)C(CO)C(O)CCC12
MOL_03_007243,COc1ccc(NCCC(O)c2ccc(OC)cc2)cc1
MOL_03_007608,Nc1cc(-c2cc(Cl)ccc2Oc2cc(F)c(S(O)(O)Nc3cscn3)cc2F)ccn1
MOL_03_007356,CC(C)N1c2ccccc2CCC(NC(O)C(Cc2c(F)cccc2C(F)(F)F)NC(O)OC(C)(C)C)C1O
MOL_03_004690,CC(C)C(NC(O)c1ccc(Cl)c(N(O)O)c1)C(O)NCc1ccc(Cl)cc1Cl
MOL_03_008956,CCCCNC(O)C(C)CC(O)C1CC(C)CCCCCCCCC(O)NC(C)C(O)N1
MOL_03_003010,COc1ccc(N2C(O)C3C(C2O)C2(Cl)C(Cl)C(Cl)C3(Cl)C2(OC)OC)cc1
MOL_03_008031,CC12CCC(O)(CCCO)CC1CCC1C2CCC2(C)C(c3cccnc3)CCC12
MOL_03_002168,CC1CC(C(C)C2CCC3C4CCC5CCC(O)C5(C)C4CCC23C)OC(O)C1CO
MOL_03_009276,COC(O)CC1C(O)NCCN1C(O)OC(C)(C)C
MOL_03_005734,OC(O)c1cccc2c1OC(O)C(C(O)NCc1ccccc1)C2
MOL_03_000920,Cc1ncc(Cl)cc1NCc1ccc(C(O)NC(CC2CCCC2)C(O)NC2CC2)s1
