SMILES,name,canvasUID,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar
N=C(N)c1cc(ccc1)-c(ccc2)cc2CC(=N)NCc(c3)ccc(c34)cccc4,MOL_01_030524,10032,392.4956,4.3577,2,2,7,30,0,0,4,85.75,64.503,123.1004,59.814
c1cc(C)ccc1C(O)NCC2(N)CCN(CC2)c3ncnc(c34)NCC4,MOL_02_024246,10034,368.4759,1.1576,3,2,5,27,0,1,4,99.33,56.418,109.5564,46.959
Cc1c(Cl)ccc(c1)-c2cn(CCN)c(n2)C3CCN(CC3)c4ncnc(N)c4CC,MOL_02_019447,10035,439.9842,4.0694,3,1,6,31,0,0,4,98.88,64.28,128.0235,56.237
CC(C)c1ccc(cc1)NC(O)NC2CCN(C2)c3ncnc(c34)cccc4,MOL_02_032565,10037,377.4827,4.4911,3,2,6,28,0,2,4,73.31,57.834,113.8673,51.07
c1ccc(CC(F)(F)F)cc1C(N)NC(C)(CN)CCc2c(Cl)cccc2,MOL_01_031718,10040,399.8808,4.3663,0,0,9,27,0,2,2,64.07,73.112,103.4495,47.052
c1ncccc1CCNc(n2)cc(nc2CN)-c(ccc3)cc3CN,MOL_01_026672,10043,334.4182,1.2028,3,1,7,25,0,0,3,102.74,53.502,99.3109,47.18
C1CCCCC1C(=N)N2C(CN)C(C2CN)c(cc3)ccc3CCc4cc(NC)ccc4,MOL_01_028275,10044,433.6321,4.286,1,2,9,32,0,2,4,91.16,62.667,135.0964,58.937
C1CCCCC1NC(=N)CC(C2=N)N(CCN2)Cc(c3C(F)(F)F)cccc3,MOL_01_016284,10048,395.465,3.5242,2,2,7,28,0,1,3,75,73.084,103.7847,43.488
c1cccc(c12)n(cn2)CCNC(NCC)N(CC3O)CCN3c4cnn(C)c4,MOL_02_030820,10049,398.5052,1.4426,3,1,8,29,0,2,4,86.41,59.667,113.7713,49.793
COc(n1)ccc(c12)nccc2N(C)CC3(O)CCC(CC3)NCc(c4)ncc(c45)OCCO5,MOL_02_045607,10051,465.5447,2.496,7,1,7,34,0,0,5,101.86,72.252,126.9929,56.943
c1ccc(C)cc1C(C2CCNCC2)NC(O)c(c3)ccc(c34)cncc4,MOL_02_009662,10053,361.48,3.0372,2,1,5,27,0,2,4,57.18,54.334,108.9266,50.972
c1cc(Cl)cc(c1CN)NC(=O)c2cc(ccc2)-n3ccnc3,MOL_01_029206,10054,326.7802,1.8724,2,1,4,23,0,0,3,72.94,54.113,89.2855,43.572
CC(C)Nc1ccnc(n1)N(C2)CCC2C(CN)n(c3)ncc3-c4ncnc(c45)NCC5,MOL_02_024422,10055,434.5406,1.1769,5,2,7,32,0,2,5,122.7,65.001,129.9303,54.173
NCc(c1)c(CN)c(CN)cc1C(=N)c2cccc(c23)n(C)cc3,MOL_01_026112,10056,321.4194,0.8784,1,1,5,24,0,0,3,106.84,52.836,97.9751,45.993
c1cc(F)ccc1CNC(=N)c(c2CN)ccc(c23)NC(N(C)C3=N)c4ccc(F)cc4,MOL_01_027205,10057,434.4844,3.7912,2,3,6,32,0,1,4,101.02,80.003,123.5153,56.872
C1CNCCC12c3c(ccc(c3)CCN)N(C2)c4ncnc(c45)CCC5C,MOL_02_036379,10059,363.4992,2.8484,2,0,3,27,0,1,5,67.07,50.585,110.2237,47.867
CCc(cc1)c(CC)c(CCC(N)O)c1C(O)Cc2c(Cl)cncc2Cl,MOL_01_032736,10060,397.3386,4.5067,3,2,8,26,0,2,2,79.37,61.057,107.6181,48.449
Cc(c1)ccc(c1c23)c(CC(N)C(N)N)nc2ccnc3N,MOL_01_027648,10061,296.3702,0.1951,2,1,3,22,0,1,3,129.86,49.835,87.6019,40.652
N1CCNC1C(O)N(C2CNCN2)Cc(c(n3)F)cc(c34)cc(F)nc4F,MOL_01_002043,10062,383.3715,0.7982,3,1,5,27,0,2,4,97.37,73.501,92.3326,39.801
c1ccccc1CNC(CCN)CCc2cccc(c23)cncc3,MOL_01_010651,10064,319.4433,2.7485,1,0,8,24,0,1,3,50.94,47.001,100.0529,47.439
c1cc(Cl)cc(c1C(C)N)NC(N)Cc2cccc(c23)cccc3,MOL_01_031450,10070,339.8618,3.7115,0,1,5,24,0,2,3,64.07,50.779,102.5638,48.343
Cc(n1)ccc(c12)ncnc2N(C3)CCCC34CCNC4,MOL_02_023375,10074,283.3714,1.8029,3,0,1,21,0,1,4,53.94,39.918,83.4314,35.966
Clc1cccc(c1N)NC(=O)C(C(N)N)NC(=O)c2c(Cl)cccc2,MOL_01_029898,10075,382.2445,0.9338,2,3,5,25,0,1,2,136.26,67.557,96.8089,44.829
NC(N)C1CCN(CC1)c(ccc2)n(c23)ccn3,MOL_02_026593,10076,245.3235,0.4343,1,0,2,18,0,0,3,73.1,37,70.34,31.943
c1cc(C)c(C)cc1C(C2CCNCC2)NC(O)c(c3)ccc(c34)cncc4,MOL_02_009056,10077,375.5066,3.5234,2,1,5,28,0,2,4,57.18,56.001,113.9678,52.807
NCc1c(Cl)ccc(c1)NC(O)Cc2nc(cc(n2)O)N3CCOCC3,MOL_02_009416,10078,379.8413,1.6766,5,3,6,26,0,1,3,116.76,62.446,97.7326,44.121
c1cc(C)c(CN)cc1C(C2CCNCC2)NC(O)c(c3)ccc(c34)cncc4,MOL_02_009173,10082,390.5212,2.1431,2,1,6,29,0,2,4,83.2,59.501,117.4,54.158
c1cccc(c1c23)nc2c(F)cn(c3O)C(NC)C(O)NCc4c(NC)ccc(c4)CC,MOL_01_000904,10083,437.5098,4.1683,3,3,8,32,0,2,4,94.37,75.169,121.7325,57.017
NCc(c1)ccc(c1CN)NC(N)CNC(N)Cc2cccc(c23)cccc3,MOL_01_032245,10084,378.5138,0.749,0,1,9,28,0,2,3,128.14,59.668,117.226,54.096
c1ncccc1Cc2c(cccc2)NC(N)C3CCCN(C3)Cc(c4)ccc(F)c4CN,MOL_01_028752,10085,433.5642,3.5194,1,1,8,32,0,2,4,80.2,68.668,129.785,59.347
Clc1cccc(c1O)NC(O)Cc2nc(cc(n2)O)N3CCOCC3,MOL_02_009560,10086,366.7995,2.3033,6,4,5,25,0,1,3,110.97,62.946,90.9533,41.572
c1nc(C)c(C)cc1C(C2CCNCC2)NC(O)c(c3)ccc(c34)cncc4,MOL_02_009644,10087,376.4946,2.1692,3,1,5,28,0,2,4,70.07,57.001,111.6693,51.554
Cc1c(Cl)ccc(c1)-c2cn(CCNC)c(n2)C3CCN(CC3)c4ncnc(N)c4N,MOL_02_027809,10088,440.9723,2.8122,3,2,6,31,0,0,4,110.91,65.28,127.8563,55.753
c1cccc(O)c1NC(O)Cc2nc(cc(n2)O)N3CCOCC3,MOL_02_033147,10089,332.3544,1.6389,6,4,5,24,0,1,3,110.97,59.168,86.1485,39.602
Cc1c(Cl)ccc(c1)-c2cn(CC3CN(C)C3)c(n2)C4CCN(CC4)c5ncnc(N)c5C,MOL_02_017998,10090,466.0215,4.4559,3,1,5,33,0,0,5,76.1,65.613,136.0802,59.133
FC(F)(F)c1ccc(cc1)C(N)NC(C)(CN)COc(c2C(F)(F)F)ccc(c2)CN,MOL_01_029228,10092,450.4212,2.7658,1,0,10,31,0,2,2,99.32,99.918,105.224,46.797
c1cccc(c12)c(CCC)ccc2C(N)Nc(ccc(n3)OC)c3C(N)NCC4CCOCC4,MOL_01_026927,10093,463.615,4.0363,3,1,10,34,0,2,4,107.45,69.168,137.7209,61.651
c1c(F)c(F)cc(F)c1CC(N)CC(N)N(C2)CCn(c23)cnc3-c4ccccn4,MOL_01_007514,10094,416.4427,2.4201,2,0,6,30,0,2,4,85.99,77.835,106.1874,49.742
c1cc(F)ccc1CCC(N)NNNc2cn(C)c(c23)cccc3,MOL_01_029476,10096,327.3992,2.7481,0,3,7,24,0,1,3,67.04,54.168,93.6989,44.484
Clc1cc(Cl)cc(c1CN)C(N)Nc2cccc(c23)cccn3,MOL_01_014798,10097,347.2417,3.2139,1,1,4,23,0,1,3,76.96,52.224,95.5561,45.39
NCc(c1)c(CN)cc(CN)c1C(=C)CC(N)C(=C)Nc(c(Cl)cc2)cc2C(F)(F)F,MOL_01_029023,10100,453.9315,2.4285,0,1,10,31,0,1,2,116.11,86.197,123.1275,53.04
c1ccccc1-n2cc(cc2CN)-c3ncnc(c34)NCC4,MOL_02_022598,10102,291.3504,1.901,2,1,3,22,0,0,4,68.76,45.002,86.5641,41.324
c1cc(N)cc(c12)ccc(c2)CCC(=N)NC(=C3C(=N)N)CCC(C3)c4ccc(F)cc4,MOL_01_030159,10103,429.5324,4.0236,2,3,7,32,0,1,4,111.77,74.003,129.261,58.194
c1cc(Cl)ccc1-n(nc2)c(c2C(N)CCC)NC(N)c(c3)c(N)cc(c34)ccc(C)c4,MOL_01_019999,10104,448.991,4.6663,1,2,7,32,0,2,4,107.91,68.28,135.7164,61.886
N1CCN(C1O)CCNc(cc2)nn(c23)c(cn3)-c4ccccc4,MOL_02_033532,10105,324.3803,2.1045,3,2,5,24,0,1,4,78.24,51.001,94.5044,42.416
COc(n1)ccc(c12)nccc2N(C)CC3(O)CCC(CC3)NCc(cc4)nc(c45)NC(O)CC5,MOL_02_007893,10106,478.5866,2.9931,6,3,7,35,0,1,5,115.66,75.085,135.5937,59.492
C1CNCCC12c3c(ccc(c3)CN)N(C2)c4ncnc(c45)CCC5C,MOL_02_036325,10107,349.4726,2.5272,2,0,2,26,0,1,5,67.07,49.085,105.4691,46.032
NCc1ccc(cc1)-n2cncc2-c3c(N)nccc3,MOL_02_012734,10111,265.3131,1.0148,2,1,3,20,0,0,3,82.75,43.835,78.847,38.428
c1cccc(CN)c1C(N)CC(N)c2ccc(cc2)-n3ccnc3,MOL_01_031915,10112,321.4194,0.4035,1,0,6,24,0,2,3,95.88,51.334,96.4674,46.537
c1ncccc1Cc2cc(cc(F)c2)C(C3N)C(N)c(c34)cccc4,MOL_01_015142,10114,333.402,2.4906,1,0,3,25,0,2,4,64.93,56.501,97.5497,47.47
NCc1ccc(c(CN)c1CN)-c2cc(Nc3ccccc3)nn2-c4ccc(F)cc4,MOL_01_019368,10119,416.4939,3.1479,1,1,7,31,0,0,4,107.91,71.003,124.0962,58.886
NCc1cc(ccc1)C2C(N)N(CC2)c(cc3)ccc3-c4ccncc4,MOL_01_027371,10121,344.4528,2.5197,1,0,4,26,0,2,4,68.17,52.501,106.7891,50.747
c1cccc(Cl)c1C(O)c(c2O)cnc(CN)c2CN,MOL_01_028998,10122,293.7487,0.511,3,2,4,20,0,1,2,105.39,51.446,78.0735,36.82
NCc1c(CN)ccc(c1)-n(c(n2)C)c(c23)nccc3,MOL_02_033089,10123,267.329,0.5094,2,0,3,20,0,0,3,82.75,43.002,79.3003,37.532
c1cc(CN)cc(c1C(F)(F)F)OCC(C)(CN)NC(N)c2ccc(CC(F)(F)F)cc2,MOL_01_029375,10125,464.4478,3.0214,1,0,11,32,0,2,2,99.32,101.418,109.6758,48.632
N1CCCc(c12)cccc2NC(O)Cc3nc(cc(n3)O)N4CCOCC4,MOL_02_009074,10126,371.4335,2.2459,5,4,5,27,0,1,4,102.77,59.835,102.5584,45.047
c1cccc(F)c1N(CC2)CCN2C(N)C3CCN(CC3)Cc(c4)ccc(CN)c4CN,MOL_01_031717,10128,440.5999,1.8805,0,0,7,32,0,1,4,87.78,67.501,131.3234,56.944
c1cc(C)c(Cl)cc1C(C2CCNCC2)NC(O)c(c3)ccc(c34)cncc4,MOL_02_010040,10129,395.925,3.7016,2,1,5,28,0,2,4,57.18,58.112,113.7314,52.942
C1COCCN1c(cc(n2)O)nc2CC(O)Nc3c(cccc3)OCCN4CCCC4,MOL_01_024540,10132,429.5126,2.4896,6,3,9,31,0,1,4,103.21,67.668,116.4769,51.189
c1c(Cl)c(Cl)cc(C(=N)N)c1C(=N)Nc2cccc(c23)cccn3,MOL_01_030587,10133,358.2246,3.6822,3,2,4,24,0,0,3,98.64,58.725,97.4415,45.907
c1nccn1-c(cc2)cc(c23)CC(N)N4C3NCCC4,MOL_02_024932,10134,269.3449,0.2611,1,0,1,20,0,2,4,59.11,39.167,77.7609,35.735
CCc(c1)c(CC)cc(c1C(N)N)NC(N)c2ccc(cc2)-c3ccccc3,MOL_01_029844,10135,374.5218,4.4727,0,1,7,28,0,1,3,90.09,57.835,119.1332,55.96
C1CNc(c12)ncnc2N(C3)CCC34CCCCN4,MOL_02_015940,10136,259.35,1.1114,2,1,1,19,0,1,4,53.08,34.751,78.1987,31.273
Cc1cc(c(F)cc1)NC(N)Nc(cccc2)c2CCc(cc3)nn(c34)ccn4,MOL_01_030041,10137,390.4566,4.353,2,2,7,29,0,1,4,80.79,65.002,115.9699,53.551
c1ccccc1-c2cc(c(N)cc2)NC(N)c3ccc(cc3)CN(C(N)O)Cc4cccnc4,MOL_01_031092,10140,454.5667,3.2771,2,3,9,34,0,2,4,126.45,74.835,138.8647,65.949
C1COCCN1CCNc(c2)ncn(c23)c(nn3)O,MOL_02_030892,10141,264.2837,0.2499,5,2,4,19,0,0,3,88.33,43.001,71.4287,29.36
NCc1cc(ccc1)-n2cncc2-c3cc(N)ncc3,MOL_02_020509,10142,265.3131,1.0148,2,1,3,20,0,0,3,82.75,43.835,78.847,38.428
c1ccccc1C(CN)C(O)Nc(c2)ccc(c23)cncc3,MOL_02_045805,10143,293.363,1.8677,2,2,5,22,0,2,3,71.17,48.334,88.6948,42.571
c1cc(C)cc(C)c1CC(N)C(O)N2CCN(CC2)c3ncnc(c34)cccc4,MOL_02_009642,10144,391.5093,3.7866,3,1,5,29,0,2,4,78.51,60.168,117.7242,52.905
C1CN(C)CCN1CCNCCC(N)Nc(nc2)nc3c2CCc(c34)nn(C)c4-c5ccccc5,MOL_02_021162,10145,475.6323,2.3871,3,1,9,35,0,1,5,100.16,68.002,143.4452,61.7
Fc1cccc(F)c1NC(=N)CN(CC)C(=N)C(CC2=N)CN2CCc3ccccc3,MOL_01_032339,10149,426.5054,3.9251,3,3,10,31,0,1,3,90.06,77.502,120.7333,52.706
c1cccc(Cl)c1C(CN)C(O)Nc(c2)ccc(c23)cncc3,MOL_02_045762,10150,327.808,2.5321,2,2,5,23,0,2,3,71.17,52.112,93.4996,44.541
c1cccc(c1CN)NC(O)C2CN(C2)C(O)c(c3)ccc(c34)OCO4,MOL_01_029931,10151,357.4036,0.7967,4,3,6,26,0,2,4,100.21,59.834,97.0019,44.52
Nc1ncnn(c12)c(cc2)C(O)CN3CCN(CC3CO)Cc4ccccc4,MOL_02_022518,10152,382.4594,1.14,4,3,6,28,0,2,4,103.67,62.334,109.5759,48.558
n1ccn(c12)cc(cc2)C(=O)NCc(nc3)ccc3Cc(cc4C(F)(F)F)cnc4,MOL_01_026950,10153,411.3798,2.3902,4,1,6,30,0,0,4,72.7,82.419,101.7713,49.5
CC(O)(O)c1ccc(cc1)CN(C2)CCCC2Nc3cccc(c34)cncc4,MOL_02_003276,10154,377.4794,2.6033,3,3,5,28,0,1,4,68.62,59.918,113.2548,51.609
c1cccc(c12)OCC(C2)NC(O)N3CCN(CC3)c(cc4)nn(c45)ccn5,MOL_02_032341,10155,380.4436,2.2467,4,1,4,28,0,2,5,78.68,58.334,107.5066,47.784
n1ccccc1NC(O)c2c(cc(CN)c(c2)CN)NCc3ccncc3,MOL_01_028777,10156,364.4442,0.7271,3,3,8,27,0,1,3,122.11,60.835,109.6472,50.421
FC(F)(F)c1cc(ccc1)CCN(C(N)CC(C)N)c2cccc(c23)cccc3,MOL_01_030316,10157,401.4678,4.9224,0,0,8,29,0,2,3,55.28,74.751,111.7849,51.605
C1COCCN1CCNc(c2CN)nnc(c2)-c3cccc(c34)cccc4,MOL_02_024431,10158,363.4561,2.3501,3,1,6,27,0,0,4,76.3,54.502,111.0531,49.235
FC(F)(F)c1ccc(cc1)C(N)C2CCCN(C2)Cc3ccncc3,MOL_01_026852,10159,349.3933,3.0343,1,0,5,25,0,2,3,42.15,65.417,92.8009,41.704
NCCN(CCN)c(c1N)ncnc1-n(cn2)c(c23)cccc3,MOL_02_015696,10160,312.3729,0.1453,3,1,6,23,0,0,3,124.9,51.335,90.8105,40.816
NCc1cccc(c1CN)C(N)Nc2cccc(c23)cccn3,MOL_01_032140,10161,307.3928,0.991,1,1,5,23,0,1,3,102.98,49.835,94.4199,44.636
c1cc(Cl)ccc1-c2cn(CCN3CCCC3)c(n2)C4CCN(CC4)c5ncnc(N)c5C,MOL_02_009063,10162,466.0215,4.5557,3,1,6,33,0,0,5,76.1,65.113,135.9908,59.133
FC(F)(F)c1cc(ccc1)NC(N)CCCN2C(N)COc(c23)ccc(C)c3,MOL_01_028287,10165,394.4339,3.8052,1,1,7,28,0,2,3,76.54,74.251,105.2733,46.296
c1ccc(O)cc1CC2C(O)C(CNC2)Cc3cc(O)ccc3,MOL_02_007352,10167,313.3908,2.5563,3,3,4,23,0,2,3,72.72,53.167,90.0307,41.955
N=C(N)c1c(C(=N)N)c(nc(C)c1N)-c(ccc2)cc2Cc3ccccc3,MOL_01_025423,10171,358.4396,2.1877,3,3,5,27,0,0,3,138.65,63.17,109.5221,51.554
c1c(Cl)c(N)cc(CN)c1C(=O)NC(C2CN)CCN(C2)CCCCc3ccc(F)cc3,MOL_01_026645,10174,462.0031,2.3602,1,2,9,32,0,2,3,110.4,75.446,129.3924,56.588
c1ccc(Cl)cc1CC(CN)NC(O)c2cc(c(o2)C)-c(c3C)n(C)nc3,MOL_02_009625,10175,388.8911,2.8649,3,1,7,27,0,2,3,89.24,60.446,106.165,49.006
NCc1c(CN)ccc(c1)C(N)N(CC2)CCC2N(CC3)CCN3c4ccccc4,MOL_01_032262,10176,408.5828,1.2263,0,0,6,30,0,1,4,87.78,58.334,126.2346,55.2
c1cc(F)c(F)cc1CC(=O)NC(CN)c2c(CN)cc(CN)cc2,MOL_01_031407,10179,348.3903,0.4789,1,1,7,25,0,1,2,107.16,68.502,93.6967,42.94
c1cn(CN)n(CN)c(c12)c(=N)n(c2=N)-c(cc3)ccc3C,MOL_01_024838,10180,297.3583,0.7679,0,2,3,22,0,0,3,114.53,51.002,88.6677,40.366
n1cnn(c12)CC(CC2)NC(NCC)NCCCN3CCN(CC3)c(cc4C)ccc4,MOL_02_026342,10181,426.6014,1.9046,2,0,10,31,0,2,4,73.28,57.667,130.4897,53.699
c1cc(C)ccc1C(CN)N2CCN(CC2)c3ncnc(c34)NCC4,MOL_02_023800,10183,338.4499,2.0522,2,1,4,25,0,1,4,70.31,48.668,104.2008,44.487
FC(F)(F)c1cc(ccc1)CC(N)CCC(N)Nc2cccc(C)c2C,MOL_01_028081,10184,365.4357,4.4121,0,1,8,26,0,2,2,64.07,69.251,101.6025,45.082
c1cccc(c12)n(cn2)CCNC(NC)N(CC3O)CCN3c4cnn(C)c4,MOL_02_030799,10186,384.4786,1.0938,3,1,7,28,0,2,4,86.41,58.167,109.0233,47.958
NCc(c1)c(CN)cc(c1C2=3)N=C2C(=N)N=CC3c4ccc(N)cc4,MOL_01_025288,10187,330.3864,0.6578,3,2,3,25,0,0,4,126.63,56.67,101.2137,44.582
c1cc(Cl)ccc1CC(N)C(O)N2CCN(CC2)c3ncnc(c34)cccc4,MOL_02_009025,10188,397.9012,3.4786,3,1,5,28,0,2,4,78.51,60.612,112.4466,51.205
c1ncccc1CCNC(O)C2CCN(CC2)c(nn3)n(c34)cccc4,MOL_02_034296,10189,352.4335,1.5687,4,1,6,26,0,1,4,79.1,54.167,100.9781,45.317
ONC(N)c1ccc(cc1)CCc2cc(O)cc(c2)O,MOL_02_002049,10191,274.315,2.4158,3,4,5,20,0,1,2,98.74,51.168,76.3009,36.74
C1NCCCC1COc(cc2)cc(c23)ccnc3O,MOL_02_002560,10192,258.3156,2.0044,3,1,3,19,0,1,3,54.38,40.501,73.6973,33.664
NCc1cccn1-c2ccc(N)c(c23)cncc3,MOL_02_019613,10195,238.2878,0.6738,1,1,2,18,0,0,3,69.86,38.835,70.7168,35.115
NCc1ccc(cc1)-c(c(N)cc2)n(c23)ncn3,MOL_02_036135,10196,239.2758,0.4447,2,1,2,18,0,0,3,82.75,39.835,73.1559,33.862
C1CCCn(c12)cc(n2)CNc3cccc(n3)-n4ccnc4C,MOL_02_027224,10197,308.3809,2.0017,3,1,4,23,0,0,4,60.56,45.335,89.7415,41.076
c1ccc(CN)cc1CNC(N)Nc(cc2)ccc2-c3cc(N)ncc3,MOL_01_031176,10198,348.4448,2.0392,1,2,7,26,0,1,3,115.01,56.335,108.241,50.553
CN1CCN(CC1)c(c2CN)ccc(c2)-c(cn3)n(c34)nc(C)cc4,MOL_02_031336,10199,336.4341,1.467,2,0,3,25,0,0,4,63.21,49.502,102.5462,45.449
COc(cc1)ccc1CC(N)C(O)N2CCN(CC2)c3ncnc(c34)cccc4,MOL_02_009374,10200,393.4821,2.7978,4,1,6,29,0,2,4,87.74,62.001,114.105,51.707
c1nn(C)c(c1C)-c(co2)cc2C(O)NC3(CCNCC3)c4ccc(Cl)cc4,MOL_02_009838,10202,400.9018,2.4925,3,1,5,28,0,1,4,75.25,60.196,108.9368,50.067
NCc(c1)c(CN)cc(C2=O)c1C=CC(C23)CCC3,MOL_01_029648,10203,256.3428,1.3737,1,0,2,19,0,2,3,69.11,41.501,78.913,33.096
c1ccnc(c12)n(cc2)-c(cc3)ccc3C(N)Nc4ccc(nc4)-n5ccnc5,MOL_02_025971,10205,381.4332,2.274,3,1,5,29,0,1,5,86.58,60.835,111.0246,55.308
Oc1cccc(c12)N(CC2C)C(O)Cc3nc(cc(n3)O)N4CCOCC4,MOL_02_009643,10206,372.4183,2.5138,6,3,4,27,0,2,4,102.18,63.168,98.0892,44.333
C1C=C=CC1(CN)NC(O)c2ccn(n2)-c3c(Cl)cccc3,MOL_01_029651,10207,316.7854,1.8409,2,1,5,22,0,2,3,76.1,50.695,84.2528,38.925
NC(N)(N)c1ccc(cc1)CCC(=N)Cc2cccc(c23)cncc3,MOL_01_031123,10208,333.4301,1.8067,2,1,6,25,0,0,3,114.8,55.752,101.7581,47.889
NC(N)NC(O)c1c(C2CC2)n(nc1)-c3cccc(c34)nccc4,MOL_02_002475,10210,324.3803,1.1269,3,1,5,24,0,1,4,115.01,53.834,91.3237,42.416
NCc(c1)c(CN)cc(c12)CN(CC2)CCCN(CC3)C(N)c(c34)cccc4CCCF,MOL_01_029696,10211,439.6118,2.533,0,0,9,32,0,1,4,84.54,66.502,132.8298,57.428
c1cc(C)c(C)cc1C(C2CCNCC2)NC(O)c(c3)c(OC)cc(c34)cncc4,MOL_02_009623,10212,405.5325,3.507,3,1,6,30,0,2,4,66.41,61.168,120.431,55.279
c1ccccc1CCNC(O)C2CCCN(C2)c3n(ncn4)c4nc(c35)CCC5,MOL_02_033357,10213,392.4973,3.0575,4,1,6,29,0,2,5,79.1,58.001,116.4148,50.048
CC(N)Nc1cc(ccc1)NCC(N)NC(C2)=Nc3ccc(c=4c=23)N=NC4,MOL_01_027722,10216,362.4316,0.6767,3,2,7,27,0,2,4,125.21,58.335,107.2926,47.476
NCc1ccc(cc1)-n2cncc2-c3cc(N)ncc3,MOL_02_020454,10218,265.3131,1.0148,2,1,3,20,0,0,3,82.75,43.835,78.847,38.428
c1cc(Cl)c(Cl)cc1CC(N)C(O)N2CCN(CC2)c3ncnc(c34)cccc4,MOL_02_009200,10219,432.3462,4.143,3,1,5,29,0,2,4,78.51,64.39,117.2514,53.175
Clc1cncc(Cl)c1NC(O)c2ccc(CN)n(c23)ncc3,MOL_01_026941,10221,338.1919,1.6098,3,2,4,22,0,1,3,88.99,53.557,86.3408,40.274
NCc1c(Cl)ccc(c1)Cn(cn2)c(c23)ncnc3N,MOL_02_029419,10222,288.7355,0.9811,3,1,3,20,0,0,3,95.64,46.113,79.4188,36.414
ClC(Cl)(Cl)c1ccc(cc1)CC(N)C(O)N2CCN(CC2)c3ncnc(c34)cccc4,MOL_02_009369,10224,480.8179,4.3466,3,1,6,31,0,2,4,78.51,70.084,128.1199,56.98
c1cccn(c12)c(cn2)-c3cccc(n3)N(C4)CCCC4N,MOL_02_016695,10226,293.3663,2.3573,2,0,2,22,0,1,4,59.97,44.001,84.7939,40.428
c1cccc(c1CC(N)N)CCC(=O)c(n2)ccc(c23)cncc3N,MOL_01_029323,10228,335.4029,0.9818,3,1,6,25,0,0,3,120.91,58.502,97.9027,45.788
c1cc(Cl)ccc1C(CN)N2CCN(CC2)c3ncnc(c34)NCC4,MOL_02_014703,10229,358.8684,2.2304,2,1,4,25,0,1,4,70.31,50.779,103.9644,44.622
C1CNc(c12)ncnc2N3CCNCC3,MOL_02_011904,10231,205.2596,0.2469,2,1,1,15,0,0,3,53.08,29.001,61.6323,24.707
NCc1c(CN)cc(cc1CN)CC(=O)Cc2cccc(c23)cccn3,MOL_01_030043,10232,348.4415,0.6582,2,0,7,26,0,0,3,108.02,58.836,104.9801,48.876
NCc1cc(C)c(cc1)-c(ncnc2)c2-c(cc3)ccc3CN,MOL_01_025289,10234,304.3889,2.2146,2,0,4,23,0,0,3,77.82,48.669,94.6427,45.247
