DrugGEN_MOL_ID,SMILES
MOL_02_009121,OC1C(Cc2ccccc2Cl)CNCC1Cc1ccccc1Cl
MOL_01_031915,NCc1ccccc1C(N)CC(N)c1ccc(-n2ccnc2)cc1
MOL_02_004689,Cc1cccc(CC(O)N(C)C(CN2CCCC2)C(C)C)c1
MOL_02_003907,Cc1ccc(CC2CCCc3ccccc3C2O)c(C)c1
MOL_02_003931,OC1CN2C(O)CCCCC2N1
MOL_02_002595,Cc1cc(NC(O)(O)c2ccc(NC(C)NC(O)c3ccc(Cl)cc3C)cc2)no1
MOL_02_002446,CCCN1CCC(NC(O)Cc2cccc(C)c2)CC1
MOL_02_001828,Cc1ccc2c(c1)C(O)C(O)N2CCN1CCN(NCc2ccc(N(O)O)o2)CC1
MOL_02_000271,COc1cccc(CC2CC(N3CCCC(C)C3)NC2O)c1OC
MOL_02_003708,COc1cc(-c2nc(C3CC(C)(O)C3)n3ccnc(N)c23)ccc1Oc1cccc(Cl)c1
MOL_02_003377,Cc1ccc(C(NC2CCN(c3nccc(C(Cl)(Cl)Cl)n3)CC2)c2cccnc2)c(Cl)c1
MOL_02_002185,Cc1cc(C)cc(NC(C)c2ccncc2)c1
MOL_02_008995,NCc1ccc(OCCN2CC3CN(CCNC(O)(O)c4ccc(Cl)cc4)CC(C2)O3)c(Cl)c1
MOL_02_003074,CCCCCc1ccc(CCC(N)(CO)CO)c(Cl)c1
MOL_02_009783,Cc1ccc(C2CCNCC2NC(O)c2cc(Cl)c(-c3c(Cl)cnn3C)o2)cc1
MOL_02_002496,Nc1cc(Cl)ccc1NC(O)c1ccc(NC(O)CCc2ccccc2)cn1
MOL_02_004374,CCC1Nc2ccccc2CC(c2ccc(OC)cc2)N1C
MOL_02_000217,CCC1C(c2cccc(C)c2)NN(c2ccccc2)C1C(O)N1CCOC1O
MOL_02_009739,Cc1cccc2c1CCN2C(O)Cc1nc(O)cc(N2CCOC(CO)C2)n1
MOL_02_029608,c1cnc(CN2CCC(Nc3cccc4cnccc34)C2)nc1
MOL_02_000770,COc1ccc2nc3cc(C)ccc3c(NCCCN3C(O)CCCC3c3ccccc3)c2c1
MOL_02_005905,Cc1cc(C)n(-c2nc(C(Cl)(Cl)Cl)nc3ccccc23)n1
MOL_02_007793,COc1cc2c(N3CCN(C(C)NCc4ccc(C)nc4C)CC3)ncnc2cc1OCCN1CCCCC1
MOL_02_008865,Cc1c(C(O)Nc2ccc(C(Cl)(Cl)Cl)cc2)cnn1Cc1ccccc1
MOL_02_006171,Cc1ccccc1-c1nc(N2CCN(CCN(C)C)CC2)nc2c1CNC(O)N2c1c(C)cccc1C
MOL_02_008824,COc1c(C)c(OC(O)CO)c2c(c1O)C(CNC(O)C(C)O)N1C(CN)C3CC4C(O)C(C)C(OC)C(O)C4C(C1C2)N3C
MOL_02_001967,COc1ccccc1CCCNNC(O)c1ccccn1
MOL_02_004013,CC1CCCC2C1(C)CCC(C)C2(C)CC1CC(O)C(N)CC1O
MOL_02_003320,CCN(CC)c1ncnc2c1ncn2C1CN(Cc2ccc(C)cc2)CC(CO)O1
MOL_01_024970,NCc1cc(-n2cnc3cccc-3c2N)ccc1CCCN1CCCC1
MOL_02_002060,Cc1ccc(-c2ncccc2Cl)cc1C(O)Nc1cc(C(O)NC2(CCO)COC2)nn1-c1ccccc1
MOL_02_006166,CC1(C(O)NC2CCCC2)CN(c2cnccn2)CCO1
MOL_02_002054,OC(c1ccc(Cl)cc1)C1CCN(C(O)c2ccccc2OC(Cl)(Cl)Cl)CC1
MOL_01_025932,Cc1ccc(C2=Nc3ccccc3N(CC(=N)Nc3ccc(CN)c(CN)c3)C(=N)C2)cc1C
MOL_02_005231,CNc1ccnc2cc(C)ccc12
MOL_01_027356,CCCc1ccccc1N1CCN(C(N)c2cc3ccccc3cc2CN)CC1
MOL_02_004316,OC(CN1CCCC1)Nc1c(C(O)C2CC2)oc2ccccc12
MOL_02_006600,OC(c1ccccn1)N1NC2C(Cc3ccccc3)CCCC2C1c1ccccc1
MOL_02_002582,COc1ccc(-c2nc3c(c4c2CC(c2ccccc2)OC4)CN(C(O)NC(C)C(O)OC(C)C)CC3)c(C)c1
MOL_02_001136,CCOC(O)C(Cc1ccccc1)N1C(C)NC(Cc2ccc(-c3ccc(C)c(C)c3)o2)C1O
MOL_02_010036,Cc1ncc(NCC(N)CC2CNc3ccccc32)cc1CCc1ccncc1
MOL_02_006352,COC1CCC2CN(CCc3ccccc3)C1CN2Cc1ccccc1
MOL_02_004204,CC(C)(C)NC(O)C1CCN(Cc2cccc(NC(O)c3ccc(Cl)cn3)c2)CC1
MOL_02_003448,Cc1cc(Cl)cnc1Nc1ccc(Oc2ncccc2C(Cl)(Cl)Cl)cc1
MOL_02_002088,COc1cc(C2c3c(cc(OC)c(OC)c3OC)CC(C)C2C)cc(OC)c1OC
MOL_02_004360,COc1cc(CN(CCc2ccccn2)C(O)CCC(C)c2ccccc2)ccc1OCc1ccccc1
MOL_02_005200,CCC(O)NCCc1cccc2ccc(OC)cc12
MOL_02_001294,OC(NC1NC(c2ccccc2)c2ccccc2N(CC(Cl)(Cl)Cl)C1O)N1CCC(N2Cc3ccncc3NC2O)CC1
MOL_01_030311,NC(CCc1cccc2c1CCCC2)NCC(O)CN1CCc2ccccc2C1
MOL_02_007074,CC(O)CN1CCN(C(O)c2ccc(Cn3cccc3)cc2)CC1
MOL_02_001706,CC(C)(C)CC(O)N1CCCC2(CC(C(O)Nc3ccccc3)NO2)C1
MOL_02_005456,Cc1ccc(C(CC(O)O)N(Cc2ccc(OCCN3C(O)CCC3O)c(C)c2)CC2CCC2)cc1
MOL_02_001180,Cc1cccc2c1NC(O)C2CN(C)C
MOL_02_008452,COC1CC(O)C(O)C(CCCCCCCCCCO)C1OC
MOL_02_000729,COc1cc(NC(O)(O)c2ccc(NC(O)CCc3cccc(N(O)O)c3)cc2)ncn1
MOL_02_007302,CC(COc1ccc2c(c1)CCC(CN1CC(C(O)O)C1)C2C)Cc1ccccc1
MOL_02_005806,COc1ccccc1C(O)NCC(O)NNC(O)C1COc2ccccc2O1
MOL_02_000935,Cc1ccc(C2(OCC3(CO)CC3)c3ccccc3C(O)N2Cc2ccc(C(O)O)cc2)cc1
MOL_02_006614,CC(C)CCCCN1CCCC1O
MOL_02_007283,CC(O)Nc1ccc(C(O)(O)N(C)CC(O)OC(C)C(O)NC2(CN)CCCCC2)cc1
MOL_02_004992,Cc1ccc(NC(C)O)cc1C(O)(O)N(c1ccc(C(C)(O)C(Cl)(Cl)Cl)cc1)C(C)C
MOL_02_026558,Nc1ncnc2c1ccn2C1CCNCC1
MOL_02_001929,COc1c(C)cnc(CC(O)c2nc3ccccc3n2CCN2CCOCC2)c1C
MOL_02_004234,Cc1ccc2c(NNCc3ccc(O)c(O)c3O)ccnc2c1
MOL_02_002255,c1ccc(-c2ncc3c(n2)CCNCC3)cc1
MOL_02_001962,CCCCC(O)C(O)C1OC2(C(O)C1C)C(O)N(C)C(OC)(C(O)c1ccccc1)C2O
MOL_01_029681,CN1CCc2cc(CN)c(CN)cc2C1CCc1ccc(Cl)cc1
MOL_02_004676,COC(O)C(Oc1ccc(C)cc1)c1ccc(Oc2ccc(CN)cc2)cc1
MOL_02_006740,NC(O)c1cc(-c2cnn(C(Cl)Cl)c2)c2ccc(CN3CCOC(C(Cl)(Cl)Cl)C3)cc2n1
MOL_02_003291,CCOC(O)C1C(c2ccc(OC)c(OC)c2)N(NO)C(c2ccc(OC)c(OC)c2)C(C(O)OCC)C1(O)O
MOL_02_001605,CC(C)C(O)Nc1ccc(N2CCCC2)cc1
MOL_02_003994,CCC(C)C(N)C(O)N1CCCCCC1
MOL_02_005942,COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2CC(O)N2CCCC(c3ccccc3)C2)cc1OC
MOL_02_001150,Cc1ccc2c(c1)C(NCCN(C)C)Nc1cccnc1N2
MOL_02_001078,Cc1cc(C(O)COc2ccc(-c3nnco3)cc2)c(C)n1Cc1ccccc1
MOL_02_001283,CC(O)NCC1CN(c2ccc(N3CCN(c4cc(N)nc(N)n4)CC3)c(Cl)c2)C(O)O1
MOL_02_007832,CCC1(CC)CC(NC(O)Nc2ccc3c(c2)NC(O)CO3)c2cccc(Cl)c2O1
MOL_02_007727,COc1cccc(C(C(O)NCc2ccccc2)N(c2cccc(C(C)O)c2)C(O)Cn2nnc3ccccc32)c1
MOL_02_006204,Cn1cc(N(O)O)cc1C(O)NNC(O)Nc1ccc(N(O)O)cc1
MOL_02_007344,Cc1cccc2cc(CN(CC3CCCO3)C(C)Nc3ccccc3)c(O)nc12
MOL_02_004346,Cc1cc(-c2ccc3ncc(C(C)O)c(NC4CCC(CN5CCCC5CO)CC4)c3c2)cc(Cl)c1O
MOL_02_005075,CC(c1cccc(C(C)C2CC2)c1O)C1CC1
MOL_02_002497,COc1ccc(CCN2CCN(c3ccccc3C)CC2)cc1OC
MOL_02_006103,COc1cc2ncnc(N3CCN(C(O)Nc4cc(C)cc(C)c4)CC3)c2cc1OC
MOL_02_003491,CN(CC(O)Nc1cccc(Cl)c1)C(O)c1ccc(OCc2cn3ccccc3n2)cc1
MOL_02_007200,CCOC(O)CCC(NC(O)C1C(c2ccc(C)nc2)C2CCC1N2Cc1ccccc1)C(O)OCC
MOL_02_005246,CC12CCC3C(CCC4C3(C)CCC(O)C4(O)CN)C1CCC(O)O2
MOL_02_007018,CC(C)c1ccccc1N1NC2CCCCC2C(CN)C1N
MOL_02_003440,CC(C)C1(C(O)Nc2cc(C(Cl)(Cl)Cl)cc(C(Cl)(Cl)Cl)c2)CC(O)N(c2ccccc2CO)C1
MOL_02_009839,Cc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4OC(C)C)CC3)n2)ccc1Cl
MOL_02_005237,CC(C(O)NCc1ccc(N2CCCC2)nc1)C(C)(O)O
MOL_02_000859,Cc1ccc(N2C(O)CC(NCC3CCCO3)C2O)cc1
MOL_02_006969,CN(C)C1CN(C2CCc3cccc(Cl)c32)CC1c1cn(C)c2ccccc12
MOL_02_000257,CCN(C(O)CO)C1CN(C(NCN)Nc2ccc(Cl)c(C)c2)NC1c1ccc(C)cc1
MOL_02_014159,Oc1nc2ccccc2n1CCCCCN1CCN(c2ccccc2)CC1
MOL_02_004272,COc1ccc(C(O)O)c(Cc2ccco2)c1
MOL_02_007116,Cc1cc(NCCCc2ccncc2)c2nnc(O)n2c1
MOL_02_000437,COc1ccc(C(C)Cn2ccnc2NCN)cc1OCCC1Cc2ccccc2C1
MOL_02_002458,Cc1ccc(CN(CC(O)NCC2CCCO2)C(O)CNC(O)(O)c2ccc(C)cc2)cc1
MOL_02_007756,Cc1cc(NNc2ccc(C(O)(O)Nc3ccc(Cl)cn3)cc2)cc(C)c1O
MOL_02_000931,CC1CC(Cc2ccc(-c3ccc(O)c(C(O)O)c3)o2)C(O)N1c1cccc(C(Cl)(Cl)Cl)c1
MOL_02_007601,Cc1cccc(C2C(C(O)c3ccc4c(c3)OCCO4)C(O)C(O)N2CCN2CCOCC2)c1
MOL_02_002758,CONC(N)c1ccc(CNC(O)C2CCN2C(O)C(O)c2cc(C)cc(OC(Cl)Cl)c2)cc1
MOL_02_006028,OC1NCC2(N3CCOCC3)CC(c3ccccc3)C1C(c1ccccc1)C2
MOL_02_001801,NCC(c1nc2ccccc2nc1N1CCN(c2ccc(Cl)cc2)CC1)C(O)NC1CCCCC1
MOL_02_002182,CC12CC3CC(C)(C1)CC(C(O)NCc1cccnc1)(C3)C2
MOL_02_008857,COc1ccc2cc(C(C)C(O)OCN(C)C(O)OC)ccc2c1
MOL_02_001404,CC(O)NC(CCCNC(N)NN(O)O)C(O)NC(CCN)C(N)O
MOL_02_009593,CCn1c(-c2nonc2N)nc2cncc(C(O)N3CCNCC3)c21
MOL_02_004643,OC(Nc1ccc2ccccc2c1)C(c1coc2ccccc12)C(O)(O)O
MOL_02_009101,Cc1ccc(C2CC(CC(O)CO)NCC2NC(O)c2cc(-c3c(C)cnn3C)c(C)o2)cc1C
MOL_02_000031,CN(C)CCOc1ccc(-c2cccc(N)n2)c2c1C1CCC2C1
MOL_02_007428,Cc1ccc(C(O)(O)CC(O)CN2CCCC2O)cc1
MOL_02_000566,Nc1ccc2c(O)c3cc(N)ccc3nc2c1
MOL_02_003261,CNC(O)C1(C(Cl)(Cl)Cl)CC(CCC2CCCCC2)CCCO1
MOL_01_028731,CCn1cc(C(=N)N)c(=N)c2cccc(C)c21
MOL_02_003386,Cc1c(O)nc2nnc(CCC(O)Nc3cccc4ccccc34)n2c1C
MOL_02_000014,NC(O)(O)c1ccc(C(O)NNC2c3ccccc3N(Cc3ccc(Cl)cc3)C2O)cc1
MOL_02_004649,Cc1ccc2oc(CCc3ccc(N(C)C)cc3)cc2c1
MOL_02_036246,CCc1nc2cnccc2n1-c1cccc(CN)c1
MOL_02_006847,CC(COCCCC(C)(C)C)C1CCC2C(CCC3CC(O)CC(O)C3C)CCCC12C
MOL_02_002636,COc1ccccc1N1CCN(Cc2cccn2-c2ccccc2-c2ccccc2)CC1
MOL_02_008222,CCn1ccnc1C1CCN(Cc2cccc(C)n2)CC1
MOL_02_003403,CC(O)OCC(CCn1cnc2c(O)nc(N)nc21)COC(C)O
MOL_01_030159,N=C(CCc1ccc2cc(N)ccc2c1)NC1=C(C(=N)N)CC(c2ccc(F)cc2)CC1
MOL_02_000500,CCCC(O)C1Cc2nnc(C)n2N(C(O)CCC)C1c1cccc(OC)c1
MOL_02_006331,NC(O)c1cccc2c1C(O)N(CCO)C2
MOL_02_007760,Cc1ccccc1-c1ccc(CCC(O)Nc2ccccc2C(O)O)cc1
MOL_02_002059,Cn1nc(C(Cl)(Cl)Cl)c(-c2cccc(C(Cl)(Cl)Cl)c2)c1NC(O)Nc1ccc(Cl)cc1
MOL_02_006937,COc1ccc(NC(O)(O)c2cc(C)cc(C)c2)cc1
MOL_02_000525,COc1ccc(OC)c(-c2noc(N3CCN(c4cc(C)ccc4C)CC3)n2)c1
MOL_02_036325,CC1CCc2ncnc(N3CC4(CCNCC4)c4cc(CN)ccc43)c21
MOL_02_007510,COc1ccc(C)cc1NC(O)C(O)NNCc1ccc(OCC(N)O)cc1
MOL_02_007312,OC1c2cc(-c3ccc(OC(Cl)(Cl)Cl)cc3)ccc2OCCN1Cc1ccccc1Cl
MOL_02_006669,CCC(C)(CC)CN1CCC(CNC(O)c2ccc3cc(C)ccc3c2)NC(CCN2CCCCC2)C1O
MOL_02_004897,NNC(O)CNC(O)CNC(O)(O)c1ccccc1
MOL_02_006658,Cc1ccc(NC(O)Nc2ccnc(-c3cccnc3)n2)cc1
MOL_02_008609,COCC(C)C1CCC(C)C(O)(C(O)C(O)N2C3CCCC2C(O)OCC(COCc2ccccc2)COC3O)C1
MOL_02_003344,OC(Nc1ccc(-c2ccccc2)cc1)C1C(O)OC(Cc2ccccc2)C1O
MOL_02_007266,Cc1ccccc1N1CCN(CCN2CCCC2O)CC1
MOL_02_005002,Cc1ccc(C(NO)NC(C)C)c(Oc2ccc(Cl)c(Cl)c2)n1
MOL_02_005732,CC1Cc2ccccc2C(O)(O)N(CC(O)C(Cc2ccccc2)NC(O)Oc2ccccc2)C1
MOL_02_007735,OC1CCC2OC(c3ccccc3)C(O)C2O1
MOL_02_035850,CC(C)NCC(Cc1cccc(C(Cl)(Cl)Cl)c1)C(O)N1CCN(c2ncnc3c2C(C)CC3O)CC1
MOL_02_001560,CCOc1ccc(Cc2nc3cc(C(O)N(CC)CC)ccc3n2CC2CCNCC2)cc1
MOL_02_004999,OC(O)CCC(NC(O)NC(CCCCNC(O)c1ccc(Cl)cc1)C(O)O)C(O)O
MOL_02_006633,Cc1ccc(C(O)(O)c2ccc(C(C)NC(O)(O)C(Cl)(Cl)Cl)cc2)c(C(O)(O)c2c(Cl)cccc2NC2CC2)c1
MOL_02_001811,Nc1nc(O)cc(NC2CCCC2)n1
MOL_02_005616,OCNCc1ccc(OCc2ccccc2)cc1
MOL_02_006081,CN(C)c1ccc(CCc2ccc3cc(Cl)ccc3n2)cc1
MOL_02_003099,Cc1nc(N)nc(-c2cccnc2Nc2cnc(C)c(NC(O)(O)c3ccc(Cl)cc3)c2)n1
MOL_02_009575,CCC1CCc2ncnc(N3CCN(C(O)C(CNC(C)C)c4ccc(C)cc4)CC3)c21
MOL_01_029508,N=C(N)c1ccc(Cc2ccc3c(c2)CCN(CCCc2ccccc2)C3)nc1
MOL_02_001509,CCc1cc2cc(C(O)C3CCC(OC)CC3)ccc2nc1C
MOL_02_005091,Cn1nccc1C(O)N1CCCN(CCCc2ccccc2)CC1
MOL_02_005036,CCCCNC(O)c1ccc2c(c1)N(CC)C(O)CC2
MOL_02_005582,COc1cc(OC2CCC(OCc3ccccc3)CC2)cc(-c2cccc(Cl)c2)c1CCNC(C)O
MOL_02_006540,CCCC(CCC)(c1ccc(OC(O)N(CC)CC)cc1)c1ccc(N(C)C(C)O)cc1
MOL_02_000546,CN1c2ccccc2C(c2ccccc2)NC(NC(O)Nc2ccc(C(O)O)cc2)C1O
MOL_02_004394,CCCNC(O)Nc1ccc(C)c(C)c1
MOL_02_006301,CC(C)n1cc(C(O)N(Cc2ccccc2)CC(O)NC2CCCC2)cn1
MOL_02_007529,CCN1C(NCc2cccc(C)c2)NC(c2cccc(C(Cl)(Cl)Cl)c2)C(C(O)OC)C1C
MOL_02_000666,Cc1ccc(-c2ccc(C(O)NCCN3CCCCC3)o2)cc1
MOL_02_003435,Cc1ccc(CC(O)Nc2ccc(OC(C)(C)C(O)O)cc2)cc1
MOL_02_000642,Cc1ccc2c(NCCCCCCNC(O)CCc3ccc(O)c(O)c3)c3c(nc2c1)CCCC3
MOL_02_015385,NCc1c(N2CCC(n3cncn3)C2)nc2ccccn12
MOL_02_007347,CCCOCC(O)COc1ccc(NC(O)CCC(C)C)cc1
MOL_02_001104,Cc1ncoc1-c1nnc(CCCCN2CCC3(CC3c3ccc(Cl)cc3)C2)n1C
MOL_02_001199,CCc1ccccc1NC(C)N1CCNC(O)C1CC(O)OC
MOL_02_000589,CCC1CC2C(OC)Nc3cc(O)c(OC)cc3C(O)N2C1
MOL_02_000830,Cc1ccc(NC(O)C2CCCN2C(O)Oc2ccccc2)cc1
MOL_02_002559,Cc1ccc(-c2nc3cc(Cl)c(Cl)cc3n2C(C2CCCCC2)C(O)Nc2c(Cl)cc(C(O)O)cc2Cl)cc1
MOL_02_003831,OC(c1ncc(-c2ccccn2)o1)C1COc2cc(-c3ccccc3)ccc2C1
MOL_02_004985,CCCCCCOC(O)CCC1(CO)CC(CCC(C(C)C)C(C)C)C(O)O1
MOL_02_004528,Cc1cc(CN)ccc1C(O)(O)C(O)N1CC2CN(CCC(c3ccccc3)C3CCN(C(C)(O)O)CC3)CC2C1
MOL_02_005562,CC(C)CCN1Cc2cccc3nc(O)n(c23)CC1C(C)C
MOL_02_001206,COCCCNC(O)C1CCN(C(O)(O)c2c(C)noc2CCc2ccc(OC)cc2)CC1
MOL_02_003206,Cc1c(C(O)O)c2cc(O)ccc2n1-c1ccccc1
MOL_02_008644,OC1CN(C(O)CCc2ccccc2Cl)c2ccccc2N1
MOL_02_003181,Cc1nc(O)nc(O)c1CNNC(O)C(CC(C)C)NC(O)OC(C)(C)C
MOL_02_006855,COc1cc2nccc(Oc3ccc4c(NC(O)c5cc(C(Cl)(Cl)Cl)cc(C(Cl)(Cl)Cl)c5)nn(C)c4c3)c2cc1OC
MOL_02_001054,CC1(O)OCC2=C1N(O)c1ccccc1N2O
MOL_02_000938,COCC(O)N1CCN(C)CC(Cc2cc(N(C)C)ncn2)C1
MOL_02_009293,CC(C)(C)C(O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(C5(N)CCC5)cc4)c3n2)c1
MOL_02_001373,COCc1ccc(C(O)N(CCCN)Cc2ccccn2)cc1
MOL_02_001128,CCCc1c(CN)cn(-c2ccc(C(O)O)cc2)c1C
MOL_02_006333,OC(Nc1ccc(OC(Cl)(Cl)Cl)cc1)c1cnc(N2CC(O)C(O)C2)c(-c2cccnc2)c1
MOL_02_004727,COCCCOCCCn1cc(CNC2C(O)C(O)C(O)C(O)C2O)nn1
MOL_02_002093,COC(O)c1cccc(O)c1C(O)c1c(O)cc(C(O)OC2CNCC2Cc2ccc(O)cc2)cc1O
MOL_02_004291,COc1ccc(-c2ccc3c(N4CCOCC4C)nc(NC(C)CO)nc3n2)cc1CO
MOL_01_028528,COc1ccc(-c2cccc(CNC(Cc3cccc(CN)c3)C(=N)N3CCC(CCN)CC3)c2)cc1
MOL_02_000614,CCCC12C(c3ccccc3)C(c3ccccc3)C(C)(C3C(O)N(c4ccc(C)cc4)C(O)C31)C2O
MOL_02_002435,OC(Nc1ccc(C2CCCCC2)cc1)c1nc(-c2cccc3ccccc23)oc1Cc1ccc(OC(O)(O)O)cc1
MOL_02_000061,COc1ccc(NC(O)CC(O)CC(O)Nc2ccc(OC)c(OC)c2)cc1
MOL_02_000517,CCN(CC)CCNC(O)c1ccc(NC(O)c2cc(-c3ccco3)nc3ccccc23)cc1
MOL_02_007142,NCC(NNc1ccc(N(O)O)cc1)C(N)N1CCOCC1
MOL_02_009787,Cc1cc(-c2cn(CCN3CCCC3)c(C3CCN(c4ncnc(N)c4C4CCC4)CC3)n2)ccc1Cl
MOL_02_001296,Cc1cc(C)c2cc(CN(C)c3ccc(C(O)NC(CCC(O)O)C(O)O)cc3)ccc2n1
MOL_02_007465,OC(COc1ccc(C(Cl)(Cl)Cl)cc1)CN1CCN(c2ccccc2Cl)CC1
MOL_02_001847,CCn1c2ccccc2c2cc(NC(O)c3cccnc3NCCCN3CCOCC3)ccc21
MOL_02_003101,Cc1ccc(Cc2nc3ccccc3nc2CCC(O)Nc2ccc3c(c2)OCO3)cc1
MOL_02_006002,COc1cccc(N2CCN(c3nc(O)c4c(n3)CCC4)CC2)c1
MOL_02_006286,CCCC1(O)CCC2C(O)c3cc4c(OC)cccc4cc3C(O)C2C1
MOL_02_004724,OC(O)C(O)N(Cc1ccncc1)c1ccc(-c2ccc(OC(Cl)(Cl)Cl)cc2)cc1
MOL_02_004532,CCc1c(C2NC(CC)NC3COC(O)C32)cccc1N(O)O
MOL_02_004311,COc1ccccc1N1CCN(CCn2c(O)nc3nc(-c4ccc(C)cc4)cc-3c2O)CC1
MOL_02_008601,Cc1c(-c2cc(O)n3ncc(-c4ccccn4)c3n2)ccc2c1OCO2
MOL_02_005675,CCCCC(NC(O)OCc1ccccc1)C(O)O
MOL_02_001229,Cc1ccc2nc(C(NN)C(O)c3ccc(C)c(C)c3)c(O)nc2c1
MOL_02_007363,NC(O)c1cnc(NC2CCCNC2)c2nc(-c3ccc(Cl)cc3)cn12
MOL_02_003641,CC(NNCc1cccc(O)c1O)NNCc1cccc(O)c1O
MOL_02_009149,Nc1ncccc1-c1nc2ccc(Cc3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1
MOL_02_004746,COc1ccc(C(O)OCc2cc(C(O)OC)c(C)o2)cc1C(O)(O)N1CCCC1
MOL_02_001581,Cc1cc(C)nc(CCc2nnc(CCC(N)O)o2)n1
